DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Tunisia,Monastir,Undefined,Regular,Full Flavor,STD,KS,1,10449,0
Turkey,Denizli Cardak Airport,BAT,Regular,Full Flavor,STD,KS,12,14717000,0
Brazil,Recife,BAT,NTD Caps,Full Flavor,STD,KS,5,2769800,0
South Korea,Muan,KT & G,Menthol Caps,Full Flavor,SSL,100,1,1946000,0
Turkey,Denizli Cardak Airport,JTI,NTD Caps,Full Flavor,STD,KS,1,47600,0
China,Xuzhou Guanyin,JTI,Menthol,Full Flavor,STD,KS,1,26780,0
Tunisia,Jerba,KARELIA TOBACCO,,,,,1,886,0
Brazil,Porto Alegre,BAT,NTD Caps,Full Flavor,STD,KS,4,785600,0
Morocco,Rabat,BAT,Regular,Full Flavor,STD,KS,10,1546745002,1.2
Japan,Chubu,CHINA NATIONAL,Regular,Lights,STD,KS,1,208000,0
Brazil,Brasilia,JTI,Regular,Full Flavor,STD,KS,9,36957200,0.4
Saudi Arabia,Jeddah,BAT,NTD Caps,Full Flavor,STD,KS,1,14756800,0
Morocco,Rabat,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,52775806,0
Russia,Moscow - Sheremetyevo,JTI,Regular,Full Flavor,STD,100,3,28389200,0.9
Spain,Sevilla,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,11432000,0
Belgium,Brussels,JTI,Regular,Lights,STD,KS,2,1080537000,30.4
Kazakhstan,Astana,JTI,Regular,Lights,STD,KS,2,320364000,48.2
Morocco,Agadir,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,291970,0
Morocco,Agadir,JTI,NTD Caps,Full Flavor,STD,KS,7,458235716,0.4
Morocco,Oujda,BAT,Regular,Full Flavor,STD,KS,9,820101942,0.6
Japan,Osaka - Kansai,JTI,Regular,Lights,STD,KS,3,606987200,1.6
South Korea,Seoul (downtown),KT & G,Regular,Full Flavor,STD,KS,2,123670600,0.1
South Korea,Seoul,JTI,NTD Caps,Full Flavor,STD,KS,5,56564000,0
Dominican Republic,Santo Domingo Las Americas,BAT,Regular,Full Flavor,STD,KS,2,6280000,0
Cambodia,Phnom Penh,CHINA NATIONAL,Regular,Ultralights,STD,KS,1,1600000,0.1
China,Wuxi Shuofang,JTI,Regular,Lights,STD,KS,4,12136356,0
Germany,Cologne,BAT,Regular,Lights,SSL,100,1,118584200,1.6
India,Anna,IMPERIAL BRANDS,,,,,1,44930,0
Jamaica,Montego Bay,JTI,Regular,Lights,STD,KS,2,149969000,3.9
Switzerland,Basel,JTI,Menthol,Full Flavor,SSL,100,1,941600,0
Brazil,Sao Paulo - Guarulhos,JTI,Regular,Full Flavor,SSL,100,1,79556400,0.8
Tunisia,Monastir,BAT,Menthol,Lights,SSL,100,1,117936000,0.3
China,Wuxi Shuofang,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,7408032,0
Georgia,Batumi,OTHER LOCAL TMO IND.,,,,,1,2423203,20.7
Morocco,Tangier,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,21080000,0
Brazil,Brasilia,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,5,3596200,0
India,Sardar Vallabh Bhai Patel,JTI,,,,,1,163715,0
Turkey,Antalya Gazipasa Airport,IMPERIAL BRANDS,Regular,Full Flavor,SSL,KS,1,30400,0
Spain,Mahon Airport,BAT,Regular,Lights,SSL,100,1,69909800,0.1
Armenia,Yerevan,KARELIA TOBACCO,Menthol,Lights,SSL,100,1,8710000,0.4
Japan,Tokyo - Narita,JTI,,,,,1,143362102,0.4
South Africa,Johannesburg,BAT,Regular,Full Flavor,SSL,100,1,3143400,0.1
India,Cochin,IMPERIAL BRANDS,,,,,1,299871,0
Spain,Barcelona,JTI,NTD Caps,Full Flavor,STD,KS,1,19329000,0
Poland,Krakow Balice,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,2906908200,13.8
Indonesia,Ngurah Rai,JTI,Regular,Lights,STD,KS,2,911650600,9
China,Kunming Wujiaba,CHINA NATIONAL,,,,,1,246937,0
Malaysia,Johor Bahru,JTI,Regular,Full Flavor,STD,KS,3,408830000,2.2
Guadalupe,Pointe-a-Pitre,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,6,294242200,6.6
Turkey,Antalya Airport,KT & G,Regular,1mg,SSL,100,3,6606800,0
Saudi Arabia,Jeddah,JTI,NTD Caps,Full Flavor,STD,100,1,183513600,0.4
Brazil,Viracopos,JTI,Menthol,Full Flavor,SSL,100,1,4351200,0
Spain,Valencia,BAT,Regular,Lights,SSL,100,1,86373200,0.1
Belgium,Charleroi,JTI,Regular,Full Flavor,STD,KS,4,97372000,2.7
Spain,Sevilla,BAT,Regular,Full Flavor,STD,KS,4,165208600,0.2
Spain,Alicante,JTI,Regular,Ultralights,STD,KS,1,269960400,0.3
China,Fuzhou Changle,BAT,Regular,Lights,STD,KS,2,6104120,0
Russia,Volgograd,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,1588400,0
China,Fuzhou Changle,JTI,Regular,Full Flavor,STD,100,1,387360,0
Japan,Okayama,BAT,Menthol,Full Flavor,SSL,100,1,24000,0
Portugal,Porto,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,55379200,0.4
China,Wenzhou Longwan,JTI,NTD Caps,Full Flavor,STD,KS,1,2057984,0
France,Beauvais,JTI,Regular,Ultralights,STD,KS,1,3985200,0
China,Kunming Wujiaba,JTI,Menthol,Full Flavor,STD,KS,1,2828586,0
Morocco,Rabat,JTI,Menthol Caps,Full Flavor,STD,KS,1,2022435,0
China,Yantai Penglai,JTI,Regular,Full Flavor,STD,100,1,1108011,0
China,Yancheng Nanyang,KT & G,Menthol,Full Flavor,SSL,100,1,7960,0
Bulgaria,Varna,KING'S TOBACCO,Regular,Ultralights,STD,KS,1,980000,0
Turkey,Diyarbakir Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,19550000,0
Turkey,Antalya Airport,JTI,NTD Caps,Full Flavor,STD,KS,3,1192104000,0.5
Greece,Samos,BAT,Regular,Full Flavor,STD,KS,2,3783600,0
Poland,Szczecin,JTI,Regular,Lights,STD,100,1,160000,0
Bosnia-Herzegovinia,Sarajevo,IMPERIAL BRANDS,,,,,1,1869366,0.8
Morocco,Tangier,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,65668034,0.1
Greece,Kos,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,1,2842800,0
Netherlands,Eindhoven,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,58383200,13.6
China,Xiamen Gaoqi,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,208552005,0.1
China,Fuzhou Changle,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,847290,0
Albania,Tirana,BAT,Regular,Lights,STD,KS,2,8940000,0
Turkey,Diyarbakir Airport,JTI,Regular,Lights,STD,KS,1,9292800,0
China,Xian Xianyang,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,57809840,0
Morocco,Casablanca,BAT,Regular,Full Flavor,STD,100,1,152000,0
Mexico,Cancun,BAT,Regular,Lights,STD,KS,1,145326000,0.7
Turkey,Adana Airport,BAT,Regular,Lights,SSL,100,1,71580000,0
Nigeria,Abuja,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,29635600,5.9
Great Britain,Exeter,JTI,NTD Caps,Full Flavor,STD,KS,1,6216000,0
Bulgaria,Bourgas,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,3,20799000,0.2
Japan,Fukuoka,JTI,Regular,Lights,STD,KS,3,117709600,0.3
Spain,Malaga,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,308584800,0.3
Bulgaria,Sofia,KARELIA TOBACCO,Menthol,Full Flavor,SSL,100,1,7884000,0.1
China,Chengdu Tianfu,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,30935635,0
Brazil,Viracopos,BAT,Regular,Lights,SSL,100,1,16463400,0.2
Great Britain,Leeds Bradford,IMPERIAL BRANDS,Regular,Lights,STD,100,1,13056000,0
Japan,Tokyo - Shinjuku,BAT,,,,,1,4017844,0
South Korea,Jeju (downtown),KT & G,Regular,Full Flavor,STD,KS,2,130426800,0.1
Australia,Perth,IMPERIAL BRANDS,Regular,Lights,STD,100,1,11832000,16.8
Mexico,Monterrey,JTI,NTD Caps,Full Flavor,STD,KS,1,2989000,0
China,Shanghai Pudong,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,478768790,0.1
Turkey,Samsun Airport,BAT,NTD Caps,Full Flavor,SSL,100,1,231000,0
Turkey,Diyarbakir Airport,BAT,Regular,Full Flavor,STD,100,3,11757800,0
Bulgaria,Varna,KING'S TOBACCO,Regular,Full Flavor,SSL,100,2,6528000,0.1
China,Wuxi Shuofang,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,8322822,0
Italy,Rome Fiumicino,BAT,Regular,Lights,SSL,100,1,1232846200,5.2
Tunisia,Jerba,BAT,Regular,Full Flavor,SSL,KS,1,479400,0
Taiwan,Kaohsiung,TAIWAN TOBACCO & LIQ,Regular,Full Flavor,STD,KS,4,181095882,0.1
Russia,Moscow - Domodedovo,JTI,Regular,Ultralights,STD,KS,1,3418200,0.1
Jordan,Amman,IMPERIAL BRANDS,Regular,1mg,SLI,KS,1,155424800,0.6
Morocco,Casablanca,JTI,Menthol,Full Flavor,STD,100,1,588000,0
Turkey,Bodrum Airport,JTI,Regular,1mg,STD,KS,2,3347200,0
Saudi Arabia,DAMMAM,BAT,Regular,Lights,STD,KS,3,808388800,1.6
Spain,Madrid Barajas,KING'S TOBACCO,Regular,Full Flavor,SSL,100,1,3260600,0
South Korea,Jeju,JTI,NTD Caps,Full Flavor,STD,KS,5,287773800,0.1
Jordan,Amman,JTI,Regular,1mg,STD,KS,1,54566400,0.2
Macau,Macau,CHINA NATIONAL,Regular,Full Flavor,STD,KS,2,1192019664,17.5
Kenya,Jomo Kenyatta,BAT,Regular,Ultralights,STD,KS,1,86970000,3.1
Germany,Dresden,IMPERIAL BRANDS,,,,,1,10000,0
Greece,Chania,KARELIA TOBACCO,Regular,Lights,SSL,100,1,2970000,0
Great Britain,London Southend Airport,BAT,Regular,Full Flavor,STD,KS,1,18692400,0
China,Fuzhou Changle,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,198730,0
Morocco,Al Hoceima,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,5429,0
South Sudan,Juba,JTI,,,,,1,58503,5.1
Saudi Arabia,DAMMAM,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,370090000,0.7
Greece,Alexandoupolis,KARELIA TOBACCO,Regular,Lights,SSL,100,1,2653200,0
Kenya,Jomo Kenyatta,BAT,Regular,Full Flavor,SSL,100,2,91234200,3.2
Indonesia,Soekarno Hatta,CHINA NATIONAL,,,,,1,198827,0
Costa Rica,Liberia,JTI,,,,,1,99818,10.9
Oman,Muscat,CHINA NATIONAL,,,,,1,94766,0.1
Morocco,Al Hoceima,BAT,Menthol,Full Flavor,SSL,100,2,957495,0
Saudi Arabia,RIYADH,JTI,Regular,Lights,STD,KS,2,6222987000,12.1
South Korea,Seoul (downtown),KT & G,Menthol Caps,Full Flavor,STD,KS,1,73711800,0
Great Britain,London Heathrow,BAT,Regular,Ultralights,STD,KS,1,1532010000,1.1
Tunisia,Tunis,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,77860000,0.2
South Korea,Busan - Kimhae (downtown),OTHER LOCAL TMO IND.,,,,,1,15600,0
Portugal,Madeira,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,37412600,0.3
Greece,Corfu,KARELIA TOBACCO,Regular,Full Flavor,STD,KS,2,11996600,0
Bulgaria,Sofia,JTI,Regular,Lights,STD,100,1,37200,0
Brazil,Recife,BAT,Menthol,Full Flavor,STD,KS,1,252000,0
Canary Islands,Gran Canaria,KING'S TOBACCO,Regular,Ultralights,SSL,100,1,7788000,0
Italy,Palermo,JTI,Regular,Lights,STD,100,1,560000,0
South Korea,Seoul (downtown),KT & G,Menthol,Lights,SSL,100,1,44007600,0
Portugal,Lisbon,KING'S TOBACCO,NTD Caps,Lights,SSL,100,1,1593600,0
Portugal,Lisbon,JTI,NTD Caps,Full Flavor,STD,KS,1,60480000,0.4
South Korea,Busan - Kimhae,KT & G,Menthol,Full Flavor,STD,KS,1,32440000,0
China,Taiyuan Wusu,JTI,Menthol,Lights,STD,KS,1,1988415,0
Jordan,Amman,IMPERIAL BRANDS,Regular,Lights,STD,100,1,4311000,0
Great Britain,Liverpool,IMPERIAL BRANDS,Regular,Lights,STD,100,1,34435200,0
India,Goa,BAT,,,,,1,29936,0
Tunisia,Enfidha,JTI,NTD Caps,Full Flavor,STD,KS,3,7765800,0
China,Shenyang Taoxian,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,215940,0
Kuwait,Kuwait,IMPERIAL BRANDS,Regular,Lights,STD,LONGER THAN KS,1,36000,0
Japan,Kagoshima,KT & G,NTD Caps,Lights,SSL,100,1,1126800,0
Great Britain,Humberside,IMPERIAL BRANDS,Regular,Lights,STD,100,1,734400,0
Cambodia,Phnom Penh,IMPERIAL BRANDS,Regular,Lights,STD,100,1,981200,0.1
Turkey,Ankara Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,317390000,0.1
Trinidad and Tobago,Piarco,BAT,Regular,Lights,STD,KS,1,12443200,37.7
Malaysia,Kuala Lumpur,JTI,Regular,Lights,STD,KS,2,547320000,3
Italy,Treviso,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,23837400,0.1
Bulgaria,Varna,KARELIA TOBACCO,Regular,Lights,SSL,100,1,15147000,0.2
Namibia,Katima Mulilo,IMPERIAL BRANDS,,,,,1,6735,0.4
China,Guangzhou Baiyun,JTI,Regular,1mg,STD,KS,1,592289608,0.2
Mexico,Cozumel,JTI,Regular,Lights,STD,KS,1,9585000,0
China,Hohhot Baita,KT & G,Regular,1mg,SSL,100,1,6628226,0
Sweden,Nykoping,BAT,,,,,1,6550,0
China,Ningbo Lishe,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,5080020,0
Saudi Arabia,Medina,BAT,NTD Caps,Full Flavor,STD,KS,1,2355200,0
Macau,Macau,IMPERIAL BRANDS,,,,,1,195984,0
Spain,A Coruna,BAT,Regular,Full Flavor,STD,KS,1,35395200,0
Denmark,Aarhus,OTHER LOCAL TMO IND.,,,,,1,252972,1.8
Spain,Reus,IMPERIAL BRANDS,Regular,Lights,STD,100,1,72624000,0.1
Switzerland,Basel,BAT,Regular,Lights,SSL,100,1,399893600,0.5
China,Hangzhou Xiaoshan,JTI,Menthol,Full Flavor,STD,KS,1,13295034,0
Great Britain,Glasgow,JTI,Regular,Ultralights,STD,KS,1,119556000,0.1
Aruba,Oranjestad,JTI,Menthol,Full Flavor,SSL,100,1,17508400,1.3
France,Beauvais,JTI,Regular,Lights,STD,KS,1,26188800,0.1
Great Britain,Edinburgh,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,35125200,0
South Korea,Busan - Kimhae (downtown),KT & G,Menthol,Lights,SSL,100,1,2384200,0
South Korea,Busan - Kimhae (downtown),JTI,Menthol Caps,Full Flavor,STD,KS,1,157118400,0.1
China,Fuzhou Changle,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,3513960,0
China,Xuzhou Guanyin,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,219992,0
China,Yantai Penglai,CHINA NATIONAL,,,,,1,61834,0
South Korea,Busan - Kimhae (downtown),KT & G,Menthol Caps,Full Flavor,STD,KS,1,80705400,0
Dominican Republic,Samana El Catey,BAT,Menthol,Full Flavor,STD,KS,1,1729200,0
Great Britain,Humberside,JTI,Regular,Ultralights,STD,KS,1,1254600,0
Mongolia,Ulaanbaatar,IMPERIAL BRANDS,Regular,Lights,STD,KS,1,7452800,2.1
Turkey,Samsun Airport,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,59400,0
Vietnam,Hanoi,Undefined,Regular,Full Flavor,STD,KS,1,112746087,1.5
Poland,Elblag,JTI,Regular,Full Flavor,STD,KS,2,378124000,1.8
South Korea,Incheon,KT & G,Regular,Ultralights,STD,KS,1,576445200,0.3
Turkey,Bodrum Airport,IMPERIAL BRANDS,Menthol,Full Flavor,STD,100,1,6191800,0
Turkey,Istanbul Asia Airport,IMPERIAL BRANDS,Menthol Caps,Full Flavor,STD,KS,1,367840000,0.2
China,Weihai Dashuibo,BAT,Regular,1mg,STD,KS,1,370788,0
Oman,Salalah,CHINA NATIONAL,,,,,1,29474,0
Japan,Chubu,BAT,Menthol Caps,Full Flavor,SSL,100,3,174087000,0.5
Great Britain,Newcastle,BAT,Regular,Ultralights,STD,KS,1,49327600,0
Russia,Krasnoyarsk,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,3998400,0.1
Cambodia,Phnom Penh,IMPERIAL BRANDS,Menthol,Full Flavor,STD,100,1,792000,0.1
Peru,Lima,JTI,Regular,Full Flavor,SSL,100,1,11060000,0.2
Cape Verde,Rabil,KING'S TOBACCO,NTD Caps,Lights,SSL,100,1,940800,0
Italy,Pisa,BAT,Regular,Full Flavor,STD,KS,1,22394400,0.1
Spain,Vigo,BAT,Regular,Full Flavor,SSL,100,1,621000,0
China,Xian Xianyang,CHINA NATIONAL,Regular,Lights,STD,KS,1,56581380,0
China,Wuxi Shuofang,BAT,Regular,Lights,STD,KS,2,14456828,0
China,Chengdu Tianfu,JTI,NTD Caps,Full Flavor,STD,KS,1,21356288,0
Greece,Athens,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,57222600,0.2
Vietnam,Hanoi,CHINA NATIONAL,,,,,1,1300503,0
Turkey,Konya Airport,JTI,NTD Caps,Full Flavor,STD,KS,1,2794000,0
Greece,Karpathos,BAT,Regular,Full Flavor,STD,KS,1,868800,0
Japan,Osaka - Kansai,BAT,Regular,Lights,STD,KS,1,185800000,0.5
China,Nanjing Lukou,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,18239525,0
Italy,Bari,OTHER LOCAL TMO IND.,,,,,1,460559,0
South Korea,Busan - Kimhae,KT & G,Menthol Caps,Full Flavor,SSL,100,1,341152000,0.2
Turkey,Eskisehir Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,100,1,154000,0
China,Mudanjiang Hailang,BAT,Regular,Lights,STD,KS,1,486000,0
France,Toulouse,KING'S TOBACCO,Regular,Full Flavor,STD,KS,1,1092000,0
Morocco,Tangier,IMPERIAL BRANDS,Menthol Caps,Full Flavor,STD,KS,1,121000,0
India,Mangalore,KING'S TOBACCO,,,,,1,7815,0
Morocco,Marrakech,BAT,Menthol,Lights,SSL,100,1,13872000,0
Turkey,Antalya Airport,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,5131450000,2.1
Japan,Chubu,JTI,Menthol,Full Flavor,SLI,100,2,12444800,0
Brazil,Florianopolis,JTI,Regular,Lights,STD,KS,1,20235000,0.2
Jordan,Amman,BAT,NTD Caps,Lights,SSL,100,1,81240800,0.3
South Korea,Seoul,KT & G,Menthol,Lights,SSL,100,1,10028200,0
Morocco,Oujda,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,1020000,0
Italy,Milan - Malpensa,BAT,Regular,Full Flavor,STD,KS,1,176923200,0.8
Turkey,Cukurova Airport,BAT,NTD Caps,Lights,SSL,100,1,1072600,0
Greece,Athens,KARELIA TOBACCO,Regular,Lights,SSL,100,1,21126600,0.1
Nicaragua,Managua,BAT,Regular,Full Flavor,SSL,100,1,3459200,5.3
China,Urumchi Diwobao,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,1,437248,0
Great Britain,Exeter,JTI,Menthol,Full Flavor,STD,KS,1,378000,0
Bulgaria,Sofia,KING'S TOBACCO,Regular,Lights,SSL,100,1,39759800,0.5
United Arab Emirates,Dubai,GULBAHAR TOBACCO,NTD Caps,Full Flavor,STD,KS,1,11091200,0
Saudi Arabia,DAMMAM,ITC Ltd.,NTD Caps,Full Flavor,STD,KS,1,40855400,0.1
China,Mudanjiang Hailang,KT & G,Regular,1mg,SSL,100,1,381780,0
Costa Rica,San Jose,BAT,,,,,1,375886,41.2
India,Goa,IMPERIAL BRANDS,,,,,1,44930,0
Greece,Chania,JTI,Regular,Lights,STD,100,1,8000000,0
Mexico,Guadalajara,BAT,Menthol,Full Flavor,SSL,100,1,5650200,0
Poland,Lodz,BAT,Regular,Full Flavor,STD,KS,1,4200,0
Greece,Thessaloniki,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,24734200,0.1
Indonesia,Soekarno Hatta,BAT,,,,,1,233467,0
China,Yinchuan Hedong,CHINA NATIONAL,Regular,Lights,STD,KS,1,2725615,0
Japan,Tokyo - Narita,BAT,Regular,Lights,STD,KS,1,164640000,0.4
China,Xuzhou Guanyin,CHINA NATIONAL,,,,,1,2324,0
Spain,Barcelona,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,28660200,0
France,Paris Orly,BAT,Regular,Lights,SSL,100,1,3082473400,6.5
Spain,Bilbao,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,7924000,0
India,Bangalore,JTI,Regular,Lights,STD,100,1,260222400,12.4
Italy,Genoa,JTI,Regular,Lights,STD,KS,1,18613800,0.1
France,Nice,CHINA NATIONAL,Regular,Full Flavor,STD,KS,1,1536600,0
China,Guangzhou Baiyun,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,3575405,0
China,Weihai Dashuibo,BAT,Menthol,Full Flavor,STD,KS,1,433608,0
Greece,Skiathos,KARELIA TOBACCO,Menthol,Ultralights,SSL,100,1,800000,0
South Korea,Incheon,KT & G,NTD Caps,Lights,STD,KS,9,9549867400,4.4
United Arab Emirates,Abu Dhabi,BAT,Regular,Full Flavor,STD,KS,7,3419571600,2.2
Belgium,Brussels,JTI,Regular,Full Flavor,STD,KS,4,919250800,25.9
Portugal,Madeira,KING'S TOBACCO,NTD Caps,Lights,SSL,100,1,758400,0
China,Chengdu Tianfu,BAT,Regular,Full Flavor,STD,KS,15,595172351,0.2
Mexico,Cozumel,BAT,Menthol,Full Flavor,STD,KS,1,5213800,0
Japan,Osaka - Kansai,JTI,Regular,Full Flavor,STD,KS,35,10949309400,28.8
Spain,Almeria,BAT,Regular,Full Flavor,STD,KS,1,33183000,0
Greece,Chania,KARELIA TOBACCO,Regular,Full Flavor,SSL,100,2,24317000,0.1
Czech Republic,Prague,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,1828231000,25
Great Britain,Birmingham,BAT,Regular,Full Flavor,STD,KS,4,1533409200,1.1
Sweden,Umea,JTI,Regular,Full Flavor,STD,KS,3,73200,0
China,Shanghai Pudong,JTI,Menthol,Lights,STD,KS,1,718248870,0.2
Great Britain,Manchester,JTI,Menthol,Full Flavor,STD,KS,1,146804000,0.1
Morocco,Ouarzazate,JTI,Regular,Full Flavor,STD,KS,8,122225102,0.1
Japan,Fukuoka,JTI,Regular,1mg,STD,KS,4,134177000,0.4
Russia,Min Vody,JTI,Regular,Full Flavor,STD,KS,3,1314000,0
Hong Kong,Hong Kong,CHINA NATIONAL,Regular,Full Flavor,STD,KS,5,18423453729,41.9
Great Britain,Leeds Bradford,JTI,Regular,Full Flavor,STD,KS,7,489988400,0.4
Turkey,Izmir Airport,KARELIA TOBACCO,Regular,1mg,SSL,100,1,55351600,0
China,Dalian Zhoushuizi,JTI,Regular,Lights,STD,KS,4,59088853,0
Switzerland,Basel,BAT,Regular,Full Flavor,STD,KS,12,1852338040,2.3
Greece,Aktio,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,3175200,0
Tunisia,Jerba,BAT,Regular,Lights,STD,KS,2,14828000,0
Japan,Fukuoka,JTI,Menthol Caps,Full Flavor,STD,KS,4,80671400,0.2
China,Shenyang Taoxian,BAT,Regular,Full Flavor,STD,KS,15,293827374,0.1
Greece,Rhodes,JTI,Regular,Full Flavor,STD,KS,6,951964800,3.2
France,Lille,JTI,Regular,Full Flavor,STD,KS,3,31340600,0.1
Tunisia,Tozeur,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,2,2142400,0
Greece,Kos,JTI,Regular,Full Flavor,STD,KS,4,317548800,1.1
Armenia,Yerevan,IMPERIAL BRANDS,Menthol Caps,Full Flavor,STD,KS,1,1130000,0
France,Lyon Saint Exupery,JTI,Regular,Full Flavor,STD,KS,5,651172200,1.4
Trinidad and Tobago,Piarco,BAT,NTD Caps,Full Flavor,STD,KS,1,1214880,3.7
China,Weihai Dashuibo,JTI,Regular,Full Flavor,STD,KS,11,15616550,0
South Korea,Cheongju,BAT,Menthol,Full Flavor,STD,KS,1,1177200,0
Japan,Fukuoka,JTI,Regular,Full Flavor,STD,KS,35,2367720140,6.2
China,Zhengzhou Xinzheng,BAT,Regular,Full Flavor,STD,KS,15,151798864,0
Senegal,Leopold Sedar Senghar,BAT,Regular,Full Flavor,STD,KS,12,711546665,13.5
China,Harbin Taiping,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,72760,0
China,Harbin Taiping,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,5369170,0
France,Nice,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,5,432116200,0.9
Greece,Santorini,IMPERIAL BRANDS,Regular,Full Flavor,STD,100,1,32601600,0.1
China,Yancheng Nanyang,BAT,Menthol,Full Flavor,STD,KS,1,1680,0
Spain,Santiago De Compostela,JTI,Regular,Lights,STD,KS,1,73075200,0.1
China,Yinchuan Hedong,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,119526032,0
Portugal,Lisbon,JTI,Regular,Full Flavor,STD,KS,6,1465521600,10.3
Poland,Warsaw,JTI,,,,,1,7229841,0
United Arab Emirates,Dubai,CHINA NATIONAL,Regular,Full Flavor,STD,KS,5,5051904000,3.2
Russia,Moscow - Domodedovo,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,504000,0
Turkey,Diyarbakir Airport,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,9438000,0
Great Britain,Newcastle,BAT,Regular,Full Flavor,STD,KS,2,169383000,0.1
Malaysia,Kuala Lumpur,KT & G,Regular,1mg,SSL,100,1,801940000,4.3
China,Dalian Zhoushuizi,CHINA NATIONAL,Regular,Full Flavor,STD,KS,13,1783226999,0.5
Great Britain,Manchester,IMPERIAL BRANDS,Regular,Lights,STD,KS,5,2956488400,2.1
South Korea,Jeju (downtown),KT & G,NTD Caps,Ultralights,STD,KS,1,10675000,0
Brazil,Belo Horizonte,CHINA NATIONAL,Regular,Full Flavor,STD,KS,2,862200,0
Malaysia,Kuala Lumpur,BAT,Regular,Full Flavor,STD,KS,5,7269492000,39.3
Great Britain,Bristol,IMPERIAL BRANDS,Regular,Lights,STD,100,1,42350400,0
Spain,Mahon Airport,JTI,Menthol,Lights,STD,KS,1,61068600,0.1
China,Dalian Zhoushuizi,JTI,Regular,1mg,STD,KS,1,32024444,0
South Korea,Jeju,CHINA NATIONAL,Regular,Full Flavor,STD,KS,5,855074500,0.4
China,Shanghai Pudong,KT & G,Regular,1mg,SSL,100,1,1786866144,0.5
China,Dalian Zhoushuizi,CHINA NATIONAL,Regular,Lights,STD,KS,1,40669186,0
Italy,Bergamo,JTI,Regular,Full Flavor,STD,KS,3,148582000,0.6
Jordan,Aqaba,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,6,8577200,0
Morocco,Nador,BAT,Regular,Full Flavor,SSL,100,1,2235600,0
France,Nice,IMPERIAL BRANDS,Regular,Lights,STD,100,1,37862400,0.1
