DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Spain,Valencia,IMPERIAL BRANDS,Regular,Lights,STD,100,1,34924800,0
Bahrain,Manama,IMPERIAL BRANDS,Regular,1mg,STD,KS,2,2689143600,12.1
Guatemala,Guatemala City,JTI,Regular,Lights,STD,KS,2,163800000,25.8
Great Britain,Leeds Bradford,JTI,Menthol,Full Flavor,STD,KS,1,17346000,0
Albania,Tirana,KARELIA TOBACCO,Menthol,Full Flavor,SSL,100,2,24485600,0.1
Japan,Chubu,JTI,Regular,Lights,STD,KS,3,132023600,0.3
Morocco,Casablanca,IMPERIAL BRANDS,Regular,1mg,SLI,KS,1,17158000,0
Canary Islands,Tenerife,BAT,Regular,Full Flavor,STD,KS,4,13410418200,9.7
Italy,Milan - Linate,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,336000,0
Brazil,Brasilia,JTI,NTD Caps,Full Flavor,STD,KS,2,516200,0
Tunisia,Enfidha,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,4,9970800,0
China,Wenzhou Longwan,KT & G,Menthol,Full Flavor,SSL,100,1,7744682,0
Russia,Krasnoyarsk,IMPERIAL BRANDS,Regular,Lights,STD,KS,3,8165200,0.3
China,Qingdao Liuting,BAT,Regular,Lights,STD,KS,2,91542626,0
Taiwan,Taichung,JTI,Regular,Full Flavor,STD,KS,5,1331839239,0.8
Greece,Rhodes,BAT,Regular,Full Flavor,STD,KS,3,26969800,0.1
China,Xuzhou Guanyin,KT & G,Menthol,Full Flavor,SSL,100,1,255914,0
China,Nanning Wuxu,IMPERIAL BRANDS,Regular,Full Flavor,STD,LONGER THAN KS,1,10159755,0
Greece,Santorini,IMPERIAL BRANDS,Regular,1mg,STD,KS,1,4365600,0
South Korea,Yangyang,KT & G,Regular,Lights,STD,KS,3,419000,0
China,Yinchuan Hedong,KARELIA TOBACCO,Menthol,Lights,SLI,100,1,24450,0
Morocco,Marrakech,BAT,Menthol,Full Flavor,STD,KS,2,293714400,0.2
China,Chengdu Tianfu,IMPERIAL BRANDS,Regular,Ultralights,SSL,100,1,26707408,0
France,Nantes,JTI,Regular,Ultralights,STD,KS,2,7329200,0
Great Britain,East Midlands,KARELIA TOBACCO,Regular,Lights,SSL,100,2,5837600,0
China,Nanning Wuxu,IMPERIAL BRANDS,Regular,Ultralights,STD,KS,1,6012900,0
Germany,Bremen,JTI,Regular,Full Flavor,STD,KS,2,57368800,0.8
Ethiopia,Addis Ababa,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,8,134545200,2.7
Reunion,Roland Garros,JTI,Regular,Full Flavor,STD,KS,2,2658354000,23.1
China,Wuxi Shuofang,BAT,Regular,Full Flavor,STD,100,1,2921440,0
South Korea,Seoul,JTI,Regular,Lights,STD,KS,1,165540000,0.1
China,Shanghai Pudong,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,372828462,0.1
Great Britain,London Southend Airport,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,219600,0
Great Britain,Edinburgh,BAT,Regular,Full Flavor,STD,KS,3,579670400,0.4
United Arab Emirates,Sharjah,KT & G,Menthol,Ultralights,STD,KS,1,23551000,0
Germany,Stuttgart,JTI,Regular,Full Flavor,STD,KS,7,333012000,4.5
Brazil,Fortaleza,JTI,Regular,Lights,STD,KS,1,13419000,0.1
South Korea,Incheon,JTI,Regular,Lights,STD,KS,1,3589378400,1.6
Great Britain,Bournemouth,JTI,NTD Caps,Full Flavor,STD,KS,1,13230000,0
China,Nanchang Changbei,CHINA NATIONAL,,,,,1,3024,0
Spain,Ibiza,BAT,Regular,Full Flavor,STD,KS,4,294311400,0.3
China,Hefei Xinqiao,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,672509,0
Egypt,Sharm El Sheikh,BAT,,,,,1,829070,0
Greece,Santorini,IMPERIAL BRANDS,Regular,Lights,STD,100,1,32150400,0.1
Turkey,Izmir Airport,BAT,NTD Caps,Lights,SSL,100,1,8788400,0
