DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
China,Taiyuan Wusu,JTI,WINSTON,45191,WINSTON - LIGHTS KS BOX,200,0,0,3090,0,0,0,0,0,1854
Bolivia,Santa Cruz Viru Viru,PMI,MARLBORO,114360,MARLBORO - (GOLD 3.0) KS RCB 400 WHITE - LA&CANADA DF-ENG TXT,400,15200,0,0,3,0,0,2052,0,0
Turkey,Kutahya Airport,PMI,L&M,41979,L&M - RED LABEL 100's SOFT - TURKEY DF,200,400,1600,400,0,0,0,72,304,78
Tunisia,Jerba,PMI,MARLBORO,123438,MARLBORO - TOUCH 3.5 KS RCS SLIMS WHITE - GENERIC DF-ENG TXT,200,30600,117600,0,7,12,0,6250.13,24637.2,0
China,Shanghai Hongqiao,BAT,DUNHILL,54825,DUNHILL - GOLD KS BOX,200,0,2259,2910,0,0,0,0,1739.43,2240.7
Turkey,Diyarbakir Airport,PMI,L&M,87048,L&M - BLUE LABEL KS RCB 600 - TURKEY DF,600,4200,0,600,1,0,0,273,0,39
Turkey,Trabzon Airport,PMI,MARLBORO,122704,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCB C WRG WHITE - TURKEY DF,200,6200,34400,0,1,6,0,1084.56,4816,0
Dominican Republic,Punta Cana - Higuey,JTI,SALEM,51504,SALEM - GREEN MENTHOL KS BOX,200,0,0,200,0,0,0,0,0,28.58
Russia,Krasnodar,JTI,UNDEFINED,0,UNDEFINED,0,422,0,0,0,0,0,0,0,0
Portugal,Lisbon,JTI,MAYFAIR,44282,MAYFAIR - SUPERKINGS 100's BOX,200,200,0,0,0,0,0,38.58,0,0
Cambodia,Sihanoukville,OTHER LOCAL TMO IND.,ORIS,56124,ORIS,200,0,600,0,0,0,0,0,114,0
Oman,Muscat,PMI,MARLBORO,123515,MARLBORO - GOLD (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,7124600,0,0,12,0,0,1012854.32,0,0
Kaliningrad,Hrabrovo,JTI,WINSTON,70361,WINSTON - XSTYLE SILVER KS D-SHAPE PACK (FRONT RCB) SLIMS,200,2540,0,0,0,0,0,135.89,0,0
Egypt,Luxor,BAT,DUNHILL,58199,DUNHILL - FINE CUT (BLUE) 90's OCTAGONAL PACK SLIMS,200,1364,1100,0,0,0,0,188.345,150.7572,0
Kosovo,PRISTINA,BAT,LUCKY STRIKE,45366,LUCKY STRIKE - RED KS BOX,200,285800,19800,0,6,1,0,24293,1683,0
Ukraine,Kyiv - Zhulyany,JTI,MONTE CARLO,49887,MONTE CARLO - RED KS BOX,200,24400,0,0,2,0,0,732,0,0
Germany,Paderborn,PMI,MARLBORO,102930,MARLBORO - MIX KS BOX - ENGLISH GHW TPD2 DF,200,3400,0,0,1,0,0,806,0,0
South Korea,Yangyang,JTI,MEVIUS,119761,MEVIUS - LBS YELLOW KS RCB C,200,0,3600,200,0,1,0,0,522,29
Germany,Berlin Brandenburg,JTI,SILK CUT,45375,SILK CUT - PURPLE KS BOX,200,56200,14600,0,5,1,0,15426.9,4372.7,0
Tunisia,Jerba,BAT,KENT,70640,KENT - NANOTEK 2.0 (WHITE) KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,0,2200,1200,0,0,0,0,377.14,199.91
Dominican Republic,Santiago Cibao,JTI,MAYFAIR,46686,MAYFAIR - SKY BLUE KS BOX,200,400,0,0,0,0,0,72,0,0
Mexico,Monterrey,JTI,NATURAL AMERICAN SPIRIT,92510,NATURAL AMERICAN SPIRIT - (ORANGE) KS BOX,200,0,0,2200,0,0,0,0,0,495
Martinique,Fort-de-France,PMI,MARLBORO,121237,MARLBORO - GOLD (2.0 ORIGINAL) KS BOS 400 - FRANCE DF GHW-FR05 - IDM FRANCE,400,503200,0,0,5,0,0,142783,0,0
Brazil,Rio de Janeiro,PMI,MARLBORO,125835,MARLBORO - RED 3.5 100's BOX - GENERIC DF-ENG TXT,200,0,6000,0,0,2,0,0,900,0
Mexico,Mazatlan,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,600,1200,1200,0,0,1,0,150.44,164,0
South Korea,Yangyang,KT & G,RAISON,46893,RAISON - KS BOX,200,0,9000,0,0,2,0,0,1350,0
Kaliningrad,Hrabrovo,JTI,SOBRANIE,52249,SOBRANIE - BLUE KS BOX,200,20,0,0,0,0,0,2.4,0,0
China,Jieyang Chaoshan,NANYANG BROTHERS,DOUBLE HAPPINESS,85873,DOUBLE HAPPINESS - CLASSIC DELUXE LS BOX,200,0,132,0,0,0,0,0,110.88,0
Gibraltar,Gibraltar,PMI,CHESTERFIELD,124525,CHESTERFIELD - ORIGINAL (4.0) KS BOX TRANSPARENT BUNDLE - GIBRALTAR DUTY PAID - IDM GIBRALTAR,200,0,10000,8000,0,1,1,0,1115,912
Jordan,Marka,PMI,L&M,123645,L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,0,400,0,0,0,0,0,53,0
Jamaica,Montego Bay,JTI,CAMEL,58456,CAMEL - ESSENTIAL (WHITE) KS BOX,200,1200,0,0,0,0,0,234,0,0
South Korea,Yangyang,PMI,MARLBORO,122718,MARLBORO - GOLD (3.5) KS RCB WHITE - KOREA DF,200,0,200,200,0,0,0,0,29,30
Jordan,Amman,PMI,MARLBORO,148391,MARLBORO - RED 3.5 KS BOS (PROMO) - GENERIC DF-ENG TXT - IDM JORDAN,200,0,0,251600,0,0,2,0,0,42409.4
Morocco,Al Hoceima,JTI,WINSTON,45184,WINSTON - KS SOFT,600,0,0,61,0,0,0,0,0,9.356383333
China,Jieyang Chaoshan,JTI,MEVIUS,91512,MEVIUS - OPTION KS RCB C,200,0,19,0,0,0,0,0,15.675,0
Mexico,Mazatlan,BAT,LUCKY STRIKE,59257,LUCKY STRIKE - CLICK & ROLL KS BOX C,200,600,0,0,0,0,0,102,0,0
Ukraine,Kyiv - Zhulyany,PMI,MARLBORO,123066,MARLBORO - GOLD (3.5) KS RCB - CES-EE-CA DF-ENG GHW,200,59200,0,0,2,0,0,8584,0,0
Dominican Republic,Puerto Plata,IMPERIAL BRANDS,LAMBERT & BUTLER,45979,LAMBERT & BUTLER - GOLD KS BOX,200,400,0,0,0,0,0,76,0,0
China,Jieyang Chaoshan,CHINA NATIONAL,FURONGWANG,52080,FURONGWANG - (BLUE) KS SOFT,200,0,298,0,0,0,0,0,685.4,0
Georgia,Kutaisi,JTI,MONTE CARLO,49874,MONTE CARLO - BLUE KS BOX,200,0,1600,0,0,1,0,0,151.2,0
Turkey,Konya Airport,PMI,LARK,106955,LARK - BLUE KS RCB WHITE - TURKEY DF,200,0,0,600,0,0,0,0,0,70.5
South Korea,Seoul,PMI,PARLIAMENT,107979,PARLIAMENT - AQUA 3 KS RCB JUMBO RC WHITE - KOREA DF,200,20600,0,0,5,0,0,2969,0,0
Belarus,Minsk,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,400,2000,0,0,0,0,0,65,0,0
Portugal,Faro Airport,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,200,1202600,0,0,5,0,0,,0,0
South Korea,Yangyang,PMI,LARK,108457,LARK - HARMONY KS RCB WHITE - KOREA DF,200,0,400,200,0,0,0,0,59,29
Turkey,Bodrum Airport,JTI,CAMEL,43011,CAMEL - KS BOX,400,116800,74000,0,7,6,0,19990,13134,0
Switzerland,Geneva,BAT,LUCKY STRIKE,57677,LUCKY STRIKE - ORIGINAL SILVER (BLUE) KS BOX,400,1200,0,0,0,0,0,289.8,0,0
Ukraine,Kyiv - Zhulyany,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,400,23600,0,0,2,0,0,1416,0,0
Germany,Hamburg,JTI,CAMEL,88440,CAMEL - FILTER KS BOX,200,42200,5200,0,6,1,0,11372.9,1479.4,0
Morocco,Marrakech,BAT,UNDEFINED,0,UNDEFINED,0,259379,0,0,2,0,0,0,0,0
Great Britain,Exeter,JTI,STERLING,61078,STERLING - (RED) KS BOX,200,0,600,200,0,0,0,0,167,54
Morocco,Essaouira,BAT,ROTHMANS,46008,ROTHMANS - (BLUE) KS BOX,600,285,821,0,0,0,0,32.5375,93.730833333,0
India,Mangalore,PMI,MARLBORO,99273,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - SOUTH ASIA DF - BASE PRODUCT DF,600,1890,3793,0,1,1,0,274.05,549.985,0
Russia,Khabarovsk,IMPERIAL BRANDS,DAVIDOFF,88458,DAVIDOFF - GOLD KS BOX,200,1000,0,0,0,0,0,125,0,0
China,Harbin Taiping,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,200,0,284,40,0,0,0,0,130.64,18.4
Tunisia,Monastir,Undefined,.COM,40100,.COM,1,0,0,125,0,0,0,0,0,
Honduras,Tegucigalpa,PMI,MARLBORO,122896,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS BOX C WRG WHITE - GENERIC DF-ENG TXT,200,9600,0,0,6,0,0,1728,0,0
Nicaragua,Managua,IMPERIAL BRANDS,REGAL,44605,REGAL - KS BOX,600,2400,0,0,2,0,0,,0,0
Austria,Salzburg,JTI,WINSTON,45379,WINSTON - CLASSIC RED KS BOX,400,8000,4000,0,4,1,0,1418,759,0
Germany,Hamburg,JTI,NATURAL AMERICAN SPIRIT,92510,NATURAL AMERICAN SPIRIT - (ORANGE) KS BOX,400,4400,0,0,1,0,0,1021.9,0,0
Mexico,Mexico City,BAT,VOGUE,96694,VOGUE - PERLE VERTE 90's D-SHAPE PACK (FRONT RCB) SLIMS,200,0,200,0,0,0,0,0,33,0
India,Netaji Subhash Chandra Bose Int. Airport,PMI,MARLBORO,116065,MARLBORO - FILTER PLUS (FWD) KS RCB JUMBO RC WHITE - SOUTH ASIA DF,200,5000,0,2972,1,0,1,78750,0,534.96
Argentina,Buenos Aires Aeroparque,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,400,4400,0,0,1,0,0,396,0,0
Aruba,Oranjestad,JTI,WINSTON,39082,WINSTON,200,12800,0,0,2,0,0,2405.08,0,0
Kazakhstan,Almaty,PMI,MARLBORO,61707,MARLBORO - GOLD EDGE KS BOX SUPERSLIMS DCV WHITE - CES-EE-CA DF-ENG TXT,200,0,79700,0,0,5,0,0,8536.667,0
Sri Lanka,Bandaranaike,PMI,MARLBORO,95605,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - JORDAN DF,600,7993,0,0,1,0,0,1158.985,0,0
China,Jieyang Chaoshan,CHINA NATIONAL,FURONGWANG,103407,FURONGWANG - KS BOX,200,0,153,0,0,0,0,0,218.79,0
Great Britain,Glasgow,IMPERIAL BRANDS,EMBASSY,43390,EMBASSY - NUMBER 1 KS BOX,200,1400,0,0,1,0,0,406,0,0
Great Britain,East Midlands,IMPERIAL BRANDS,EMBASSY,43390,EMBASSY - NUMBER 1 KS BOX,200,3200,0,0,1,0,0,928,0,0
Morocco,Nador,JTI,MAYFAIR,44279,MAYFAIR - KS BOX,200,0,200,0,0,0,0,0,30,0
Tunisia,Enfidha,BAT,BENSON & HEDGES,42846,BENSON & HEDGES - GOLD KS BOX,400,0,0,20800,0,0,1,0,0,3205.8
China,Zhengzhou Xinzheng,CHINA NATIONAL,DOUBLE HAPPINESS,46152,DOUBLE HAPPINESS - KS BOX,200,1168,33489,144527,0,9,10,303.68,8707.14,37577.02
Morocco,Fes,BAT,KENT,56256,KENT - WHITE KS RCB,200,6239,3182,0,3,1,0,951.4475,485.255,0
Portugal,Porto,PMI,MARLBORO,120966,MARLBORO - (RED FWD) KS BOX - ENGLISH GHW TPD2 DF - IDM PORTUGAL,200,560600,0,0,10,0,0,132415.2,0,0
Mongolia,Ulaanbaatar,JTI,MEVIUS,87831,MEVIUS - ORIGINAL KS BOX,200,30000,44400,36600,7,9,8,2400,2624,2928
Great Britain,Newcastle,JTI,STERLING,61077,STERLING - SUPERKINGS (RED) 100's BOX,200,0,0,64600,0,0,11,0,0,19661
Saudi Arabia,RIYADH,ITC Ltd.,WILLS NAVY CUT,124479,WILLS NAVY CUT - RED KS BOX,200,1819400,1520400,2717800,12,11,11,0,355073.15,603379.12
Morocco,Tangier,PMI,MARLBORO,113631,MARLBORO - (GOLD 3.0) KS RCB - NORTH AFRICA DF,200,634940,1215600,1376000,10,12,11,112124.4,162035.59,191649.53
Brazil,Rio de Janeiro,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,42600,25200,58400,8,7,9,5431.5,3339,7884
China,Yinchuan Hedong,CHINA NATIONAL,FURONGWANG,103407,FURONGWANG - KS BOX,200,0,2903,8375,0,0,3,0,4151.29,11976.25
Switzerland,Geneva,BAT,KENT,107236,KENT - SURROUND (SILVER) KS RCB,200,261000,283600,245200,11,12,11,72282.61,80503.99,71674.7
Taiwan,Taipei - Taoyuan,CHINA NATIONAL,CHUNGHWA,43087,CHUNGHWA - KS BOX,200,158513,829928,1133088,12,12,12,1149219.25,6016978,8214888
Greece,Mykonos,PMI,L&M,120922,L&M - BLUE LABEL (4.0) KS RCB - ENGLISH GHW TPD2 DF - IDM GREECE,200,63200,0,0,6,0,0,9954,0,0
Japan,Tokyo - Narita,BAT,KENT,91996,KENT - S SERIES 1 100's BOX SUPERSLIMS,200,571000,1494600,1645800,12,12,12,9421500,24660900,27155700
South Korea,Incheon,KT & G,RAISON,37649,RAISON,200,0,0,4915600,0,0,10,0,0,739653.15
Poland,Poznan-Lawica,PMI,MARLBORO,123056,MARLBORO - GOLD (3.5) KS RCB - ENGLISH GHW TPD2 DF - IDM POLAND,200,278200,1655000,2443400,2,10,12,228124,1481225,2230919
Great Britain,Southampton,BAT,DUNHILL,47577,DUNHILL - INTERNATIONAL KS BOX,400,8000,0,400,4,0,0,2120,0,106
Germany,Nuernberg,JTI,WINSTON,54579,WINSTON - RED KS BOX,200,34000,17000,0,10,6,0,8635.73,4235.8,0
India,Jaipur,PMI,MARLBORO,118496,MARLBORO - FILTER + EXTRA (FWD) KS RCB JUMBO RC WHITE - SOUTH ASIA DF,200,4000,2954,6944,1,1,2,63000,531.72,1249.92
French Guyana,Cayenne,PMI,PHILIP MORRIS,122363,PHILIP MORRIS - BLEUE KS BOX 400 TRANSPARENT BUNDLE - FRANCE DF GHW-FR05 - IDM FRANCE,400,0,98000,110000,0,12,11,0,23073.5,26203
Japan,Chubu,BAT,KOOL,46491,KOOL - LIGHTS MENTHOL KS BOX,200,22400,121400,172000,4,12,12,436800,2367300,3354000
France,Paris Charles De Gaulle,IMPERIAL BRANDS,SUPERKINGS,46019,SUPERKINGS - BLUE 100's BOX,200,273400,479600,379000,11,12,11,74501.5,145847.32,132546.88
South Korea,Incheon,KT & G,SEASONS,46300,SEASONS - KS BOX,200,2329200,5636600,4999400,12,12,11,346725,845490,749910
Japan,Osaka - Kansai,JTI,MEVIUS,123005,MEVIUS - EXTRA LIGHTS KS RCB 40,400,0,256800,1740400,0,1,8,0,3852000,26106000
Canary Islands,Gran Canaria,PMI,L&M,124959,L&M - BLUE LABEL (5.0 CWB) KS RCB - CANARY ISLANDS DF - IDM SPAIN,200,2475600,3700000,3488800,9,12,11,389907,547614.25,576328.01
Mexico,Mazatlan,PMI,MARLBORO,125835,MARLBORO - RED 3.5 100's BOX - GENERIC DF-ENG TXT,200,0,7200,5600,0,3,1,0,1368,1145
Morocco,Al Hoceima,IMPERIAL BRANDS,GAULOISES,45969,GAULOISES - BLONDES (BLUE) KS BOX,400,627,691,855,0,0,0,48.200625,53.120625,65.728125
Tunisia,Tunis,IMPERIAL BRANDS,WEST,46023,WEST - RED KS BOX,600,25800,40200,42600,11,12,10,3416.94,5347.71,5653.11
China,Shanghai Pudong,NANYANG BROTHERS,DOUBLE HAPPINESS,103412,DOUBLE HAPPINESS - DELUXE (RED) KS BOX,200,1017689,7254838,8882408,10,12,11,712382.3,5078386.6,6327280.68
Jamaica,Montego Bay,BAT,DUNHILL,87891,DUNHILL - FINE CUT BURGUNDY KS BOX,400,19600,0,0,6,0,0,3479,0,0
Mexico,Mexico City,BAT,NEWPORT,44309,NEWPORT - MENTHOL KS BOX,200,177600,367200,103200,9,12,11,31080,69580.5,19746
Taiwan,Taipei - Taoyuan,TAIWAN TOBACCO & LIQ,LONG LIFE,56485,LONG LIFE - KS SOFT,200,5270280,30573110,40510276,12,12,12,11781226.95,68974079.25,91658274.75
Morocco,Marrakech,PMI,PHILIP MORRIS,125143,PHILIP MORRIS - KS BOX TRANSPARENT BUNDLE - NORTH AFRICA DF,200,261920,1500800,1993600,3,11,11,44519.9,255136,338912
Tanzania,Kilimanjaro,BAT,DUNHILL,66953,DUNHILL - SWITCH CAPSULE KS OCTAGONAL PACK C,200,0,0,3000,0,0,1,0,0,1326000
Aruba,Oranjestad,JTI,MORE,66621,MORE - INTERNATIONAL MENTHOL 120's SOFT EXTRA SLIMS,200,11800,0,0,5,0,0,1770,0,0
Albania,Tirana,IMPERIAL BRANDS,DAVIDOFF,103408,DAVIDOFF - MAGENTA KS OCTAGONAL PACK SUPERSLIMS,200,14800,69200,138400,4,11,11,2183,10207,20403.84
Japan,Tokyo - Narita,JTI,MEVIUS,88925,MEVIUS - EXTRA LIGHTS KS SOFT,200,795400,2573000,2906000,12,12,12,15510300,50173500,56667000
China,Beijing,BAT,LUCKY STRIKE,57677,LUCKY STRIKE - ORIGINAL SILVER (BLUE) KS BOX,200,29169,268456,473708,8,10,11,19397.385,178523.24,315015.82
Mexico,Cancun,BAT,KENT,106880,KENT - SPARK SILVER KS RCB,200,229800,241800,113800,11,12,11,44339.34,51522.35,24313.32
Panama,Panama Tocumen,JTI,CAMEL,43011,CAMEL - KS BOX,400,50400,57600,36000,10,11,7,6300,7200,4500
Brazil,Rio de Janeiro,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,8600,102600,115600,1,8,11,1290,15390,17340
Spain,Santiago De Compostela,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,200,62000,87200,96400,11,12,11,11997,19620,22066.8
Turkey,Dalaman Airport,BAT,KENT,57752,KENT - HD (WHITE) KS RCB,200,16800,9000,0,6,3,0,3408.6,1885.5,0
Turkey,Izmir Airport,JTI,CAMEL,97296,CAMEL - ACTIVATE DOUBLE MINT PURPLE KS CURVE PACK C,600,141000,112800,151800,9,12,12,19050,15792,21252
Ivory Coast,Abidjan,BAT,VOGUE,51509,VOGUE - MENTHE 1 MENTHOL 100's BOX SUPERSLIMS,400,0,0,12000,0,0,1,0,0,1311525.9
Kazakhstan,Almaty,PMI,PARLIAMENT,92823,PARLIAMENT - CARAT (BLUE) 90's BEV SLIMS WHITE - CES-EE-CA DF-ENG GHW,200,132960,0,0,7,0,0,22603.2,0,0
Turkey,Ankara Airport,PMI,PARLIAMENT,70907,PARLIAMENT - AQUA BLUE KS RCB 600 WHITE - TURKEY DF,600,138000,138000,193800,12,12,12,21792,22709.1,32739
Dominican Republic,Puerto Plata,BAT,VOGUE,70512,VOGUE - LILAS 100's L-STICK BOX SUPERSLIMS,200,2800,17200,4000,1,2,1,546,4012.32,980
Turkey,Adana Airport,PMI,MARLBORO,94155,MARLBORO - (RED FWD) 100's SOFT - TURKEY DF,200,27600,46800,13400,3,12,7,4451.74,6318,1809
South Korea,Jeju,KT & G,ESSE,113559,ESSE - CHANGE LINN 100's D-SHAPE PACK (FRONT RCB) C MICROSLIMS,200,6842000,5582200,4493800,12,12,11,992090,809981,652320
Taiwan,Taichung,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,0,156673,306900,0,12,12,0,548355.5,1217527.5
Taiwan,Taipei - Taoyuan,BAT,LUCKY STRIKE,45366,LUCKY STRIKE - RED KS BOX,200,2203220,11633069,16411011,12,12,12,5397889,28501019.05,40206976.95
Morocco,Marrakech,IMPERIAL BRANDS,GAULOISES,45969,GAULOISES - BLONDES (BLUE) KS BOX,600,1305214,1454358,1671065,12,12,11,102943.23,126565.8425,117375.975
Egypt,Luxor,JTI,GLAMOUR,67740,GLAMOUR - PINKS 100's BOX SUPERSLIMS,200,289,191,0,0,0,0,29.19745,19.33905,0
Japan,Tokyo - Narita,JTI,SEVEN STARS,46302,SEVEN STARS - KS BOX,200,1215600,5098200,7092000,12,12,12,24919800,104513100,145386000
Grenada,St. George's Point Saline,PMI,MARLBORO,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,0,15600,36400,0,5,8,0,2886,6751.25
Great Britain,London Heathrow,IMPERIAL BRANDS,SUPERKINGS,44938,SUPERKINGS - 100's BOX,400,542400,723200,650000,12,12,11,136956,183286.12,177305.85
Turkey,Ankara Airport,BAT,KENT,101267,KENT - MIX AROMA KS RCB C,200,70000,52400,52600,12,8,10,12185,9676.2,10257.1
France,Bordeaux,BAT,VOGUE,51105,VOGUE - BLEUE 100's BOX SUPERSLIMS,200,125000,140000,108600,12,12,11,32812.5,49001.3,40030.7
Mexico,Los Cabos,JTI,GLAMOUR,54224,GLAMOUR - PINKS 100's L-STICK BOX SUPERSLIMS,200,34800,14400,51400,6,3,11,6264,3096,11505
Turkey,Istanbul Airport,PMI,MARLBORO,100977,MARLBORO - TOUCH ONE KS RCS SLIMS WHITE - TURKEY DF,200,1249800,823000,552600,12,12,11,211277.1,149024.1,106502.1
Spain,Murcia,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,200,629000,1086400,713600,11,12,11,112276.5,276390.31,230368.18
Poland,Krakow Balice,PMI,MARLBORO,122416,MARLBORO - (RED FWD) KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,400,2392800,0,0,12,0,0,1788006,0,0
Uruguay,Montevideo,MAILHOS GROUP,NEVADA,40450,NEVADA,800,0,800,4800,0,0,1,0,128,792
Aruba,Oranjestad,PMI,MARLBORO,125088,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - GENERIC DF-ENG TXT,200,0,111600,245000,0,5,11,0,25110,55350.18
Tunisia,Monastir,PMI,MARLBORO,113631,MARLBORO - (GOLD 3.0) KS RCB - NORTH AFRICA DF,200,564400,727000,0,10,9,0,108887.5,147618.5,0
United Arab Emirates,Dubai,JTI,GOLD COAST,39980,GOLD COAST,200,312600,0,0,9,0,0,17364.93,0,0
Turkey,Istanbul Asia Airport,PMI,MARLBORO,123072,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - TURKEY DF,600,2940000,9583200,8667600,3,12,10,448350,1515703.57,1412553.35
Albania,Tirana,IMPERIAL BRANDS,DAVIDOFF,88913,DAVIDOFF - SLIMS GOLD KS OCTAGONAL PACK SLIMS,200,55600,100400,101800,4,6,8,8201,14809,15015.5
China,Hefei Xinqiao,JTI,SEVEN STARS,46302,SEVEN STARS - KS BOX,200,0,3337,7395,0,0,3,0,2002.2,4437
Turkey,Antalya Airport,IMPERIAL BRANDS,DAVIDOFF,49888,DAVIDOFF - WHITE 100's OCTAGONAL PACK SUPERSLIMS,400,461600,293200,225600,12,12,11,78511.04,55666.5,44870
Morocco,Oujda,IMPERIAL BRANDS,GAULOISES,45358,GAULOISES - BLONDES (RED) KS BOX,600,64631,74741,87763,11,12,11,4482.625,5639.0175,6653.0025
Poland,Krakow Balice,PMI,L&M,124252,L&M - BLUE LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM POLAND,200,3005800,7495800,6049900,4,12,12,2164167,5820267,4895077.83
China,Jinan Xiaoqiang,JTI,MEVIUS,91512,MEVIUS - OPTION KS RCB C,200,0,2493,8412,0,0,2,0,2056.725,6939.9
Great Britain,Birmingham,JTI,STERLING,99392,STERLING - DUAL KS BOX C,400,197600,802800,774800,6,12,11,41496,182657.04,191281.5
Russia,Moscow - Sheremetyevo,JTI,WINSTON,55025,WINSTON - SILVER KS BOX,200,51000,0,118800,6,0,6,4597,0,10692
Portugal,Porto,PMI,MARLBORO,125470,MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM PORTUGAL,200,206600,1651800,1536800,2,12,12,49274.1,413733.4,387273.6
Switzerland,Zurich,BAT,PALL MALL,51685,PALL MALL - (BLUE) KS BOX,200,210400,227000,164000,12,12,11,51369.5,56308,41278.73
United Arab Emirates,Dubai,IMPERIAL BRANDS,WEST,46754,WEST - BLUE KS BOX,200,2894200,2454600,2028000,12,12,11,143236.57,153412.5,126750
Serbia,Belgrade,KING'S TOBACCO,CORSET,109455,CORSET - MAUVE A PORTER 100's NEW GENERATION SHOULDER BOX SUPERSLIMS,200,116400,360200,314600,7,12,11,11640,37821,33033
Saudi Arabia,DAMMAM,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,423400,363200,444200,12,12,11,0,134556.81,178216.52
Ecuador,Quito,PMI,MARLBORO,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,0,0,447600,0,0,11,0,0,52220
Saudi Arabia,RIYADH,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,600,480600,1547400,1043400,3,12,11,0,481243.12,346753.04
Nigeria,Abuja,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,200,5000,8000,5600,1,2,1,0,1332.45,818.32
Turkey,Antalya Airport,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,400,1048000,1689600,1716400,8,12,11,176272.38,320905,347540.5
China,Changzhou Benniu,JTI,MILD SEVEN,44119,MILD SEVEN - LIGHTS KS BOX,200,0,1511,0,0,0,0,0,1056.425,0
Poland,Olsztyn,PMI,L&M,124289,L&M - BLUE LABEL (5.0 CWB) KS RCB 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,400,101200,610000,522400,11,12,11,65900,437071,395167
Mexico,Mexico City,JTI,GLAMOUR,54224,GLAMOUR - PINKS 100's L-STICK BOX SUPERSLIMS,400,141600,135200,134800,12,10,11,23986.86,22810.03,23892.31
Great Britain,Cardiff,JTI,SILK CUT,45375,SILK CUT - PURPLE KS BOX,600,5400,15600,13200,2,6,5,1215,3765.04,3608
Jamaica,Montego Bay,BAT,NEWPORT,44309,NEWPORT - MENTHOL KS BOX,200,946000,1552600,613000,7,10,11,189200,342132,143265.83
China,Fuzhou Changle,CHINA NATIONAL,CHUNGHWA,47099,CHUNGHWA - KS SOFT,200,1422,28161,14820,0,11,3,3910.5,77442.75,40755
Saudi Arabia,Jeddah,IMPERIAL BRANDS,DAVIDOFF,88459,DAVIDOFF - CLASSIC KS BOX,400,0,192400,271200,0,9,7,0,103896,158064.2
Georgia,Batumi,PMI,MARLBORO,124368,MARLBORO - FINE TOUCH 3.5 KS DSP SLIMS WHITE - GEORGIA DF,200,246800,203200,169000,9,12,7,35880.5,31172.4,26110.5
Spain,Alicante,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,200,12724800,16288400,14128200,12,12,11,2271376.8,4121372.52,4542666.09
Mongolia,Ulaanbaatar,CHINA NATIONAL,ALISHAN,118690,ALISHAN - BLUEBERRY KS BOX C,200,0,9600,26800,0,2,5,0,0,0
Japan,Tokyo - Narita,PMI,MARLBORO,95500,MARLBORO - MEDIUM (FWD) KS BOX WHITE - JAPAN DF,200,878600,1635600,3101000,12,12,12,18758110,34920060,66206350
Italy,Milan - Malpensa,BAT,LUCKY STRIKE,45366,LUCKY STRIKE - RED KS BOX,200,0,390600,439400,0,12,11,0,77704.52,87880
