DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
China,Hohhot Baita,CHINA NATIONAL,CHUNGHWA,47099,CHUNGHWA - KS SOFT,200,0,1640,18562,0,1,9,0,4510,51045.5
Serbia,Nis,MONUS,MONUS,54940,MONUS - (GREY) 100's OCTAGONAL PACK SLIMS,200,114000,104400,109400,12,12,11,6270,5742,6465
Turkey,Izmir Airport,PMI,MARLBORO,138635,MARLBORO - EXOTIC FUSION KS RCT C PSW SLIMS WHITE - TURKEY DF,200,0,0,95000,0,0,5,0,0,19712.5
China,Quanzhou,PMI,MARLBORO,121385,MARLBORO - PURPLE MENTHOL KS BOX C TRU WHITE - CHINA DF - CNSC(ZF),200,0,6000,22800,0,2,9,0,5400,20520
Turkey,Ankara Airport,PMI,PARLIAMENT,137661,PARLIAMENT - SILVER BLUE KS RCS WHITE - TURKEY DF,200,0,35600,41800,0,7,11,0,7072.2,8593.5
Morocco,Nador,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,200,60600,83400,101400,10,12,11,9393,13150.69,17707.34
France,Nantes,JTI,WINSTON,54235,WINSTON - BLUE 100's BOX SUPERSLIMS,200,0,2600,20600,0,0,10,0,886.6,6992.4
Sri Lanka,Colombo,PMI,L&M,98816,L&M - BLUE LABEL KS RCB 600 WHITE - GCC DF,600,0,29400,140400,0,3,10,0,3123.75,14917.5
Taiwan,Everrich Downtown Kinmen,PMI,L&M,149070,L&M - BLUE LABEL (5.0 CWB) KS RCB WHITE - TAIWAN DF,200,0,0,46540,0,0,5,0,0,155864.608
Greece,Heraklion Airport,PMI,L&M,120929,L&M - BLUE LABEL (NON TRAVEL) KS RCB - ENGLISH GHW TPD2 DF - IDM GREECE,200,757800,0,0,7,0,0,119353.5,0,0
Germany,Stuttgart,IMPERIAL BRANDS,R1,49944,R1 - (BLUE) KS BOX,200,1000,53200,64400,0,10,12,269.5,14337.4,17355.8
Morocco,Fes,IMPERIAL BRANDS,DAVIDOFF,103408,DAVIDOFF - MAGENTA KS OCTAGONAL PACK SUPERSLIMS,200,0,0,14851,0,0,7,0,0,2376.16
