Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Bangkok Airport,0.0,0.0,5.3,0.0,1.32,1
Genoa,5.76,0.0,3.0,0.0,2.19,0
Khorgos,0.0,0.0,5.3,0.0,1.32,1
Cesme Port,0.0,0.0,5.3,0.0,1.32,1
Mexico City,6.84,9.87,5.36,0.0,5.52,2
Santa Cruz de Tenerife,0.0,0.0,5.3,0.0,1.32,1
Ukraine/Slovakia,0.0,0.0,5.3,0.0,1.32,1
Limassol,0.0,0.0,5.3,0.0,1.32,1
Novosibirsk,6.83,0.0,5.3,9.25,5.34,3
Aqaba (Saudi border),0.0,0.0,5.3,0.0,1.32,1
Yingsheng,10.0,0.0,5.3,0.0,3.82,0
Banja Luka,6.67,0.0,5.3,10.0,5.49,3
Konya Airport,6.87,8.06,6.8,9.87,7.9,2
Maputo,9.17,0.0,0.0,0.0,2.29,0
Sanaa,0.0,0.0,5.3,0.0,1.32,1
Mongolia/China,0.0,0.0,5.3,0.0,1.32,1
Rhodes,5.6,10.0,3.7,8.2,6.88,2
Ningbo Lishe,6.2,0.09,0.23,9.99,4.13,3
Kota Kinabalu,6.67,3.37,2.16,4.98,4.3,3
Victoria,0.0,0.0,5.3,0.0,1.32,1
Vladivostok,9.67,0.0,5.3,0.0,3.74,0
Ukraine/Belarus,0.0,0.0,5.3,0.0,1.32,1
Acapulco,8.48,0.0,1.67,0.0,2.54,0
Irkutsk,0.0,0.0,5.3,0.0,1.32,1
Auckland,4.44,0.0,2.35,7.88,3.67,3
Akita,0.0,0.0,5.3,0.0,1.32,1
Sendai,4.89,0.0,2.38,7.63,3.72,3
Kumamoto,0.0,0.0,5.3,0.0,1.32,1
PRISTINA,6.93,0.0,1.96,8.04,4.23,3
Ipsala Turkey Greece Border,0.0,0.0,5.3,0.0,1.32,1
Ushuaia,0.0,0.0,5.3,0.0,1.32,1
Tyumen,0.0,0.0,5.3,0.0,1.32,1
Esbjerg,0.0,0.0,5.3,0.0,1.32,1
Gdansk,6.81,0.0,6.25,9.82,5.72,3
Yinchuan Hedong,6.52,7.01,0.23,9.48,5.81,2
Lusaka,6.92,0.0,1.73,8.28,4.23,3
Nanjing Lukou,5.42,5.52,6.35,0.76,4.51,0
Leipzig,0.0,0.0,5.3,0.0,1.32,1
Piombino,0.0,0.0,5.3,0.0,1.32,1
Chongqing Jiangbei,5.99,9.91,1.27,9.99,6.79,2
Sfax,6.12,10.0,4.13,8.65,7.22,2
Hrabrovo,7.62,0.0,5.3,0.0,3.23,0
Hamilton,0.0,0.0,5.3,0.0,1.32,1
Nice,6.77,10.0,6.01,0.0,5.7,2
Ganja,0.0,0.0,5.3,0.0,1.32,1
Perm,0.0,0.0,5.3,0.0,1.32,1
Damascus,0.0,0.0,5.3,0.0,1.32,1
Greece/Turkey,0.0,0.0,5.3,0.0,1.32,1
Rabil,6.09,10.0,7.79,9.57,8.36,2
Ukraine/Hungary,0.0,0.0,5.3,0.0,1.32,1
Esendere Turkey Iran Border,0.0,0.0,5.3,0.0,1.32,1
Split Port,0.0,0.0,5.3,0.0,1.32,1
Goa,4.87,0.0,3.93,7.18,4.0,3
Cali,6.8,8.86,7.47,5.97,7.27,2
Belo Horizonte,6.85,10.0,9.27,0.0,6.53,2
Doha,5.05,0.0,5.22,6.68,4.24,3
Ulaanbaatar,6.67,0.0,1.94,0.0,2.15,0
A Coruna,6.92,0.0,9.57,9.35,6.46,3
Pula,8.89,0.0,5.28,0.0,3.54,0
Tangier,6.6,9.99,9.88,5.72,8.05,2
Ayvalik Port,0.0,0.0,5.3,0.0,1.32,1
King Hussein Bridge (Palestine border),0.0,0.0,5.3,0.0,1.32,1
Cayenne,6.45,10.0,9.75,0.0,6.55,2
Karpathos,5.76,0.0,0.0,0.0,1.44,0
Wroclaw,5.17,0.0,3.1,0.0,2.07,0
Chubu,6.58,8.98,8.34,8.52,8.11,2
San Sebastian,0.0,0.0,5.3,0.0,1.32,1
Guadalajara,6.86,9.9,3.48,0.0,5.06,2
Southampton,6.71,0.0,5.01,0.0,2.93,0
Taipei - Taoyuan,5.89,9.97,7.47,4.43,6.94,2
Basseterre (Saint Kitts),6.79,9.94,4.99,0.0,5.43,2
Tel-Aviv,5.42,0.0,7.7,9.85,5.74,3
Fes,6.51,10.0,9.51,0.0,6.5,2
Khabarovsk,7.67,0.0,5.3,0.0,3.24,0
Karlsruhe Baden-Baden,10.0,0.0,5.3,0.0,3.82,0
Jerba,6.47,9.98,6.37,0.0,5.7,2
Merida,0.0,0.0,5.3,0.0,1.32,1
Habur  Turkey Iraq Border,0.0,0.0,5.3,0.0,1.32,1
Kralendijk (Bonaire),6.79,0.0,1.5,0.0,2.07,0
Ciampino Airport,5.83,0.0,7.94,0.0,3.44,0
Beijing Capital,0.0,0.0,5.3,0.0,1.32,1
Changchun Longjia,5.96,10.0,6.3,9.93,8.05,2
Santorini Port,0.0,0.0,5.3,0.0,1.32,1
Rio de Janeiro,6.82,10.0,7.87,8.71,8.35,2
Kyiv - Zhulyany,7.72,0.0,5.3,0.0,3.26,0
Milan - Linate,6.88,0.0,6.06,4.11,4.26,0
Leeds Bradford,6.23,0.0,6.22,9.19,5.41,3
Jerez De La Frontera,6.91,0.0,7.58,7.78,5.57,3
Zaragoza,0.0,0.0,5.3,0.0,1.32,1
Poznan-Lawica,4.81,0.0,3.23,0.0,2.01,0
Motril,0.0,0.0,5.3,0.0,1.32,1
Mahe,0.0,0.0,5.3,0.0,1.32,1
Xuzhou Guanyin,6.75,3.08,0.0,0.0,2.46,0
Dalian Zhoushuizi,6.75,9.94,0.0,9.66,6.59,2
Nador,6.86,9.99,9.18,6.85,8.22,2
Islamabad,3.33,0.0,5.3,10.0,4.66,3
New York La Guardia,0.0,0.0,5.3,0.0,1.32,1
Humberside,6.67,0.0,0.0,0.0,1.67,0
Shannon,5.0,0.0,4.46,6.95,4.1,3
Russia/Norway,0.0,0.0,5.3,0.0,1.32,1
Ufa,7.62,0.0,5.3,0.0,3.23,0
Ostrava,6.83,0.0,0.0,8.43,3.82,3
Moi,8.89,0.0,5.3,0.0,3.55,0
Nykoping,6.67,0.0,10.0,7.18,5.96,3
Denizli Cardak Airport,6.85,9.34,5.77,8.75,7.68,2
Chisinau,7.76,0.0,5.3,0.0,3.26,0
Nizhniy Novgorod,0.0,0.0,5.3,0.0,1.32,1
Glasgow Prestwick,6.36,0.0,4.98,6.82,4.54,3
Hefei Xinqiao,6.63,6.54,9.12,9.85,8.04,2
Ciudad del Este Guarani,0.0,0.0,5.3,0.0,1.32,1
Aktau,10.0,0.0,0.0,0.0,2.5,0
Greece/FYROM,0.0,0.0,5.3,0.0,1.32,1
Charleroi,6.67,0.0,9.31,0.0,4.0,0
Yemen,0.0,0.0,5.3,0.0,1.32,1
Lodz,6.83,0.0,6.36,9.61,5.7,3
Norwich,6.82,0.0,5.31,9.71,5.46,3
San Andres,0.0,0.0,5.3,0.0,1.32,1
Saskatoon,0.0,0.0,5.3,0.0,1.32,1
Larvik,0.0,0.0,5.3,0.0,1.32,1
Tromso,0.0,0.0,5.3,0.0,1.32,1
USA- Airports,0.0,0.0,5.3,0.0,1.32,1
Bournemouth,6.22,0.0,6.59,0.0,3.2,0
La Palma,5.96,0.0,9.02,9.07,6.01,3
Jaber (Syria border),0.0,0.0,5.3,0.0,1.32,1
