Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Shenzhen Bao'an,7.19,0.0,0.0,2.4,0
Stockholm Arlanda,6.92,0.0,9.86,5.59,1
Kutaisi,6.78,0.0,8.84,5.21,1
Nanchang Changbei,6.62,10.0,9.96,8.86,3
Bremen,6.77,0.0,0.0,2.26,0
Zhukovsky,0.0,0.0,0.0,0.0,0
Hebei,5.15,0.0,0.0,1.72,0
Bodrum Airport,6.75,9.61,9.37,8.58,3
Guayaquil,5.23,10.0,0.0,5.08,2
Jersey,6.67,0.0,9.91,5.53,1
Shanghai Hongqiao,6.1,6.63,3.29,5.34,2
Munich,6.35,0.0,1.1,2.48,0
Asuncion Silvio Petterossi,6.85,0.0,7.95,4.93,1
Salzburg,6.78,0.0,9.25,5.34,1
Charleroi,6.67,0.0,0.0,2.22,0
Nouakchott,6.9,0.0,10.0,5.63,1
Malaga,6.48,0.0,0.0,2.16,0
Windhoek,6.67,0.0,0.0,2.22,0
Tel-Aviv,5.42,0.0,9.85,5.09,1
Kharkiv,7.78,0.0,0.0,2.59,0
Samarkand,10.0,0.0,0.0,3.33,0
Lima,6.77,9.99,9.6,8.79,3
Bari,5.78,0.0,8.85,4.88,1
Kinshasa,6.92,0.0,0.0,2.31,0
Genoa,5.76,0.0,0.0,1.92,0
Dubrovnik,7.78,0.0,9.32,5.7,1
Katowice,5.0,0.0,9.82,4.94,1
Ekaterinburg,6.79,0.0,8.39,5.06,1
Eskisehir Airport,6.87,8.94,9.61,8.47,3
Konya Airport,6.87,8.06,9.87,8.27,3
Puerto Plata,6.82,9.11,7.83,7.92,3
London Gatwick,6.58,0.0,0.0,2.19,0
Sierra Leone,5.42,0.0,9.8,5.07,1
Juba,6.9,0.0,0.0,2.3,0
Stavanger,6.78,0.0,9.28,5.35,1
Kazan,8.75,0.0,0.0,2.92,0
Hurgada,6.72,0.0,7.68,4.8,1
Billund,6.67,0.0,9.35,5.34,1
La Palma,5.96,0.0,9.07,5.01,1
Bergamo,6.86,0.0,9.3,5.39,1
Osaka - Kansai,6.58,5.08,9.03,6.9,3
Diyarbakir Airport,6.84,8.53,0.0,5.12,2
Punta Cana - Higuey,6.78,9.82,8.31,8.3,3
Port-au-Prince (Haiti),6.76,0.0,5.18,3.98,1
Gdansk,6.81,0.0,9.82,5.54,1
Chongqing Jiangbei,5.99,9.91,9.99,8.63,3
Guangzhou Baiyun,6.09,9.75,9.98,8.61,3
Strasbourg,6.92,0.0,9.67,5.53,1
Liberia,5.24,0.0,3.2,2.81,0
Fort-de-France,6.15,10.0,6.84,7.66,3
San Salvador Comalapa,6.84,9.8,7.84,8.16,3
Montevideo,6.67,0.0,2.86,3.18,0
Buenos Aires Aeroparque,6.91,0.0,0.0,2.3,0
Verona,6.83,0.0,10.0,5.61,1
Islamabad,3.33,0.0,10.0,4.44,1
Sofia,6.75,0.0,1.33,2.69,0
Incheon,6.08,9.64,4.3,6.67,2
Cochin,6.67,0.0,8.29,4.99,1
Sao Paulo - Guarulhos,6.85,10.0,8.64,8.5,3
Kota Kinabalu,6.67,3.37,4.98,5.01,1
Kutahya Airport,6.95,10.0,1.39,6.11,2
Jaipur,4.87,0.0,0.0,1.62,0
Helsinki-Vantaa,7.04,0.0,0.0,2.35,0
Praia,6.85,10.0,9.57,8.81,3
Bilbao,6.84,0.0,9.91,5.58,1
Anna,4.87,0.0,0.0,1.62,0
Voronezh,7.85,0.0,0.0,2.62,0
Zanzibar,5.44,0.0,0.0,1.81,0
Kingston,6.67,0.0,0.0,2.22,0
Warsaw,6.83,0.0,0.0,2.28,0
Tokyo - Narita,6.55,9.51,8.71,8.26,3
Xiamen Gaoqi,6.11,9.95,8.23,8.1,3
Oujda,6.55,10.0,5.62,7.39,3
Quanzhou Jinjiang,0.0,0.0,7.98,2.66,1
Jieyang Chaoshan,6.71,0.0,0.0,2.24,0
Addis Ababa,6.81,10.0,7.26,8.02,3
Jomo Kenyatta,6.42,9.99,6.99,7.8,3
Harbin Taiping,6.75,0.0,0.0,2.25,0
Viracopos,6.85,10.0,7.38,8.08,3
Espargos,6.5,10.0,9.41,8.64,3
Varna,6.76,0.0,1.61,2.79,0
Komatsu,4.76,0.0,8.13,4.3,1
Togo,5.83,0.0,9.82,5.22,1
Sarajevo,4.91,0.0,9.61,4.84,1
Beira,8.75,0.0,0.0,2.92,0
Moscow - Domodedovo,6.76,0.0,9.0,5.25,1
Nanjing Lukou,5.42,5.52,0.76,3.9,2
Rabil,6.09,10.0,9.57,8.55,3
Medellin Jose Maria Cordova,5.08,0.0,7.31,4.13,1
Jerez De La Frontera,6.91,0.0,7.78,4.9,1
Hatay Airport,9.52,0.0,0.0,3.17,0
Odessa,7.62,0.0,10.0,5.87,1
St. George's Point Saline,6.81,10.0,9.62,8.81,3
Al Hoceima,6.67,0.0,9.52,5.4,1
La Paz El Alto,10.0,0.0,0.0,3.33,0
Mahon Airport,6.26,0.0,9.77,5.34,1
Amsterdam - Schiphol,6.79,0.0,0.0,2.26,0
Paramaribo,6.79,0.0,4.13,3.64,0
Adana Airport,6.87,9.16,6.73,7.59,3
Ningbo Lishe,6.2,0.09,9.99,5.43,1
Hrabrovo,7.62,0.0,0.0,2.54,0
Antalya Gazipasa Airport,6.83,9.23,0.0,5.35,2
Tirana,6.19,0.0,9.65,5.28,1
Bariloche,5.0,0.0,0.06,1.69,0
Shenyang Taoxian,6.48,9.89,9.94,8.77,3
Belgorod,7.78,0.0,0.0,2.59,0
Ixtapa Zihuatanejo,6.86,9.85,8.28,8.33,3
Kilimanjaro,6.75,0.0,10.0,5.58,1
Yinchuan Hedong,6.52,7.01,9.48,7.67,3
Hamburg,6.82,0.0,5.53,4.12,1
Puerto Vallarta,6.84,9.84,0.0,5.56,2
Nador,6.86,9.99,6.85,7.9,3
Cayenne (REC),0.0,0.0,10.0,3.33,1
Bridgetown,6.76,0.0,1.61,2.79,0
Auckland,4.44,0.0,7.88,4.11,1
Mactan,6.67,0.0,0.0,2.22,0
Cancun,6.84,9.86,8.84,8.51,3
Chengdu Tianfu,6.52,7.52,8.03,7.36,3
Memmingen,10.0,0.0,0.0,3.33,0
Munster-Osnabruck,4.9,0.0,6.56,3.82,1
Djibouti,5.0,0.0,0.0,1.67,0
Lagos,6.83,10.0,9.65,8.83,3
Tirstrup,0.0,0.0,0.0,0.0,0
London Stansted,6.57,0.0,9.55,5.37,1
Fortaleza,6.87,10.0,7.68,8.18,3
Chitose,4.94,0.0,7.94,4.29,1
Macau,6.67,10.0,8.03,8.23,3
Agadir,6.43,9.98,10.0,8.8,3
Lodz,6.83,0.0,9.61,5.48,1
Tegucigalpa,9.0,0.0,0.0,3.0,0
Baghdad,6.78,0.0,0.0,2.26,0
Tangier,6.6,9.99,5.72,7.44,3
Izmir Airport,6.82,9.62,9.85,8.76,3
Porto,6.89,0.0,9.75,5.55,1
Samos,6.76,0.0,9.82,5.53,1
Accra,6.83,10.0,0.0,5.61,2
Hong Kong,6.21,9.99,0.0,5.4,2
Abuja,6.28,10.0,8.42,8.23,3
Ras El Khaymah,6.8,0.0,2.11,2.97,0
Brasilia,6.81,10.0,8.36,8.39,3
Santiago Arturo Merino Benitez,6.67,10.0,10.0,8.89,3
Sharjah,5.78,9.3,8.22,7.77,3
Kyiv,7.5,0.0,0.0,2.5,0
Takamatsu,5.0,0.0,3.78,2.93,0
Lanzarote,6.76,0.0,8.74,5.17,1
Lubumbashi,7.14,0.0,9.72,5.62,1
Rhodes,5.6,10.0,8.2,7.93,3
PRISTINA,6.93,0.0,8.04,4.99,1
Heraklion Airport,6.75,10.0,8.52,8.42,3
Coolangatta,8.33,0.0,0.0,2.78,0
Vigo,6.86,0.0,9.71,5.52,1
Kalibo,7.78,0.0,8.2,5.33,1
Batumi,6.83,0.0,9.5,5.44,1
Yancheng Nanyang,6.73,0.0,0.0,2.24,0
Qingdao Liuting,6.05,9.88,9.87,8.6,3
Queretaro,7.14,0.0,7.57,4.9,1
Toulouse,6.86,10.0,0.0,5.62,2
Glasgow,6.48,0.0,0.01,2.16,0
Trabzon Airport,6.84,5.39,9.92,7.38,3
Hefei Xinqiao,6.63,6.54,9.85,7.67,3
Wenzhou Longwan,6.55,4.7,9.97,7.07,1
Zaporizhya,8.04,0.0,0.0,2.68,0
Trichy,4.87,0.0,6.82,3.9,1
Gaziantep Airport,6.85,8.92,9.82,8.53,3
Huatulco,0.0,0.0,0.0,0.0,0
Fukushima,6.67,0.0,3.17,3.28,0
Ankara Airport,6.84,9.52,9.41,8.59,3
Banja Luka,6.67,0.0,10.0,5.56,1
Asyut,5.33,0.0,9.87,5.07,1
Sharm El Sheikh,6.78,0.0,9.19,5.32,1
Suleymania Airport,6.81,0.0,0.0,2.27,0
Ioannina,6.98,0.0,8.47,5.15,1
Mitilini,6.77,0.0,0.0,2.26,0
Everrich Downtown Kinmen,5.89,9.96,4.05,6.63,2
Florianopolis,6.79,10.0,9.55,8.78,3
Szczecin,6.89,0.0,0.0,2.3,0
Samana El Catey,6.85,10.0,8.27,8.37,3
Liverpool,6.47,0.0,0.0,2.16,0
Oranjestad,6.8,9.15,9.25,8.4,3
Naples,6.04,0.0,7.68,4.57,1
Leopold Sedar Senghar,6.72,0.0,9.41,5.38,1
Muscat,6.78,0.0,7.26,4.68,1
Moscow - Sheremetyevo,6.8,0.0,0.0,2.27,0
Riga,6.9,0.0,4.95,3.95,1
Kristiansand,7.6,0.0,0.0,2.53,0
Aktau,10.0,0.0,0.0,3.33,0
Athens,6.26,10.0,8.18,8.15,3
Bournemouth,6.22,0.0,0.0,2.07,0
Paris Orly,6.76,10.0,0.0,5.59,2
Torino,5.78,0.0,1.33,2.37,0
Casablanca,6.47,9.97,9.92,8.79,3
Budapest,8.33,0.0,0.0,2.78,0
Vienna,6.77,0.0,8.52,5.1,1
Ibiza,6.46,0.0,0.0,2.15,0
Dresden,7.14,0.0,0.0,2.38,0
Montpellier,6.88,0.0,9.71,5.53,1
Tashkent,5.6,0.0,8.31,4.64,1
Hiroshima,4.89,0.0,10.0,4.96,1
Sanya Fenghuang,6.71,0.0,0.0,2.24,0
Monastir,6.39,9.99,0.0,5.46,2
Okayama,6.44,9.93,3.69,6.69,2
Berlin Brandenburg,6.82,0.0,0.0,2.27,0
Palma De Mallorca,6.48,0.0,7.17,4.55,1
Sandefjord-Torp,6.05,0.0,5.18,3.74,1
Harare,10.0,0.0,0.0,3.33,0
Almaty,5.0,0.0,9.92,4.97,1
Hyderabad,5.18,0.0,0.0,1.73,0
Skiathos,6.67,0.0,10.0,5.56,1
Cozumel,6.87,10.0,0.0,5.62,2
Sardar Vallabh Bhai Patel,4.87,0.0,3.78,2.88,0
Basrah,6.81,0.0,0.0,2.27,0
Brno,4.44,0.0,9.84,4.76,1
Yantai Penglai,6.03,9.97,0.06,5.35,2
Iwate,6.67,0.0,9.52,5.4,1
Sevilla,6.44,0.0,0.0,2.15,0
Nuernberg,6.86,0.0,0.0,2.29,0
Guernsey,5.56,0.0,0.62,2.06,0
Minsk,6.79,0.0,10.0,5.6,1
Aswan,6.79,0.0,9.76,5.52,1
La Romana,6.83,9.97,9.29,8.7,3
Murcia,6.75,0.0,3.68,3.48,0
Salalah,6.73,0.0,0.0,2.24,0
Beauvais,6.53,0.0,0.0,2.18,0
Cheongju,6.08,9.9,4.47,6.82,2
Brisbane,6.67,0.0,0.0,2.22,0
Zadar,8.89,0.0,0.0,2.96,0
Beijing Daxing,0.0,0.0,6.8,2.27,1
Johor Bahru,6.13,7.84,9.07,7.68,3
Gaborone,7.78,0.0,0.21,2.66,0
