Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_D,Avg_Score
Basel,6.35,5.0,7.0,94.0,10.0,1.31,5.886666666666667
Tokyo - Haneda,5.05,0.0,8.0,33.0,0.0,,2.525
Milan - Malpensa,6.82,3.0,0.0,67.0,0.0,10.0,5.6066666666666665
Moscow - Sheremetyevo,6.8,2.0,0.0,49.0,0.0,,3.4
London Luton,6.46,2.0,3.0,64.0,0.0,,3.23
London Stansted,6.57,2.0,2.0,72.0,0.0,,3.285
Natal,6.84,4.0,0.0,77.0,10.0,0.11,5.6499999999999995
Rhodes,5.6,1.0,13.0,78.0,10.0,,7.8
Lodz,6.83,2.0,0.0,41.0,0.0,,3.415
Olsztyn,6.84,2.0,0.0,39.0,0.0,,3.42
Guatemala City,6.89,4.0,0.0,61.0,5.116465043005254,0.03,4.012155014335084
Perth,6.71,1.0,0.0,70.0,10.0,,8.355
San Salvador Comalapa,6.84,4.0,0.0,76.0,9.80330619877573,0.02,5.55443539959191
Durban,6.74,1.0,0.0,45.0,10.0,3.13,6.623333333333334
Yerevan,6.67,0.0,0.0,82.0,0.0,0.9,2.5233333333333334
Tunis,6.4,5.0,9.0,160.0,9.99054256700627,0.28,5.556847522335424
Alicante,6.32,1.0,4.0,68.0,0.0,,3.16
Antigua,6.79,1.0,0.0,28.0,0.0,,3.395
Tegucigalpa,9.0,7.0,0.0,10.0,,,9.0
Ohrid,6.83,3.0,0.0,63.0,0.0,0.17,2.3333333333333335
Birmingham,6.38,0.0,3.0,71.0,0.0,5.82,4.066666666666666
Rosario,6.9,1.0,0.0,14.0,0.0,,3.45
Enfidha,6.85,7.0,0.0,127.0,9.993238406552752,10.0,8.947746135517583
Basseterre (Saint Kitts),6.79,3.0,0.0,81.0,9.938044863528374,,8.364022431764187
Krasnodar,7.47,6.0,0.0,25.0,,,7.47
Johor Bahru,6.13,0.0,2.0,25.0,7.83551210042228,10.0,7.9885040334740935
Cordoba,6.89,1.0,0.0,15.0,0.0,,3.445
Palermo,6.86,2.0,0.0,34.0,0.0,,3.43
Cheongju,6.08,0.0,9.0,102.0,9.898377443336164,2.56,6.179459147778721
Cali,6.8,3.0,0.0,73.0,8.857973444182221,0.5,5.38599114806074
Mahon Airport,6.26,1.0,4.0,58.0,0.0,5.7,3.986666666666667
Copenhagen,6.83,2.0,0.0,41.0,0.0,0.0,2.276666666666667
Salzburg,6.78,1.0,0.0,29.0,0.0,3.64,3.473333333333333
London City,6.8,2.0,0.0,50.0,0.0,0.61,2.47
Liverpool,6.47,0.0,2.0,68.0,0.0,,3.235
Duesseldorf,6.8,3.0,0.0,75.0,0.0,,3.4
Cape Town,6.9,3.0,0.0,42.0,10.0,0.28,5.726666666666667
PRISTINA,6.93,6.0,0.0,75.0,0.0,10.0,5.6433333333333335
Fuerteventura,6.76,2.0,0.0,70.0,0.0,4.83,3.8633333333333333
Kazan,8.75,5.0,0.0,8.0,,,8.75
Sardar Vallabh Bhai Patel,4.87,0.0,7.0,26.0,0.0,,2.435
Mangalore,4.87,0.0,7.0,26.0,0.0,10.0,4.956666666666667
Zia,4.93,1.0,7.0,25.0,0.0,,2.465
Espargos,6.5,5.0,5.0,99.0,9.999926747817097,2.26,6.253308915939033
Ekaterinburg,6.79,1.0,0.0,28.0,0.0,9.28,5.3566666666666665
Novosibirsk,6.83,1.0,0.0,21.0,0.0,,3.415
