Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Togo,5.36,10.0,4.05,8.53,6.98
Cam Ranh,7.24,0.02,1.3,3.04,2.9
Puerto Vallarta,7.44,7.3,2.67,8.49,6.48
Reus,6.2,0.0,9.11,2.86,4.54
Bangalore,5.3,6.63,1.05,10.0,5.74
Zakynthos,6.34,6.17,3.58,8.98,6.27
Venice,6.97,9.17,7.53,8.94,8.15
Hamburg,5.43,9.56,6.85,9.03,7.72
Thessaloniki,5.15,6.82,3.72,8.11,5.95
Nador,7.19,6.97,9.43,7.54,7.78
Kos,6.76,6.59,3.02,8.15,6.13
Los Cabos,6.76,7.17,2.68,9.12,6.43
Lublin,7.07,3.15,0.2,0.0,2.6
Murcia,8.0,0.19,0.18,0.61,2.24
Medina,6.15,7.71,6.66,0.02,5.14
Cork,4.17,6.06,7.67,4.5,5.6
Chongqing Jiangbei,5.3,0.69,1.22,1.36,2.14
San Salvador Comalapa,6.07,7.22,2.99,7.99,6.07
Rabil,7.84,1.7,8.31,7.54,6.35
Sarajevo,5.84,9.54,6.94,9.82,8.04
Shenzhen Bao'an,6.48,0.6,0.66,0.74,2.12
Abidjan,8.54,7.16,9.4,8.2,8.32
Zia,5.16,10.0,1.03,7.35,5.88
Bergen,6.16,10.0,4.36,8.36,7.22
Bergamo,5.86,8.14,7.33,10.0,7.83
Guayaquil,7.14,8.18,7.77,8.13,7.8
Alexandria,7.14,9.56,0.0,0.08,4.19
Nis,5.42,7.2,0.61,0.0,3.31
Szczecin,6.08,10.0,5.76,9.46,7.82
Guadalajara,8.14,7.9,4.22,9.28,7.38
Billund,7.17,9.91,8.25,0.91,6.56
Wuhan Tianhe,5.31,1.96,2.28,2.27,2.95
Guernsey,6.09,0.69,5.1,0.0,2.97
Quito,7.08,3.61,8.4,6.09,6.3
Tashkent,5.67,10.0,1.23,8.48,6.34
Santiago Cibao,5.63,6.71,7.29,6.29,6.48
Bridgetown,5.66,10.0,7.06,6.58,7.32
Zanzibar,8.15,9.91,9.08,8.5,8.91
Kutaisi,7.06,9.81,8.94,7.21,8.26
Toulouse,6.78,5.87,8.66,9.3,7.65
Essaouira,7.39,8.13,0.0,0.0,3.88
Guatemala City,5.83,4.53,1.76,5.65,4.44
Batumi,4.89,9.95,0.39,0.19,3.86
Bamako,7.21,10.0,5.37,8.49,7.77
Kayseri Airport,6.22,5.94,4.27,8.01,6.11
Yanji Zhaoyangchuan,9.42,2.78,7.03,3.94,5.79
Podgorica,6.99,10.0,4.63,10.0,7.9
Cayenne,6.74,9.55,9.62,9.13,8.76
San Jose,6.16,9.65,7.78,9.66,8.31
Ciampino Airport,4.75,8.08,8.28,9.79,7.72
Chania,6.7,3.87,3.57,7.85,5.5
Changsha Huanghua,6.41,1.41,2.05,3.32,3.3
Brno,5.81,10.0,5.93,8.05,7.45
Aswan,8.43,9.93,6.61,9.13,8.52
Varna,6.64,2.05,0.89,8.78,4.59
Bilbao,7.26,2.34,7.83,9.55,6.74
Trabzon Airport,5.63,6.81,9.1,8.1,7.41
Suleymania Airport,5.3,10.0,0.0,3.27,4.64
Lodz,6.56,7.91,6.61,10.0,7.77
Alexandoupolis,5.53,4.45,0.0,0.92,2.72
Montpellier,7.02,10.0,9.45,8.72,8.8
Ulaanbaatar,7.27,3.23,2.36,7.8,5.16
Nantes,6.62,4.18,7.95,8.44,6.8
Santorini,6.79,5.78,4.75,8.1,6.36
Entebbe,4.69,9.91,3.19,8.46,6.56
Paramaribo,6.26,9.62,3.78,4.79,6.11
Changchun Longjia,6.89,0.6,6.31,0.77,3.64
Stuttgart,5.26,6.34,8.55,8.41,7.14
Santiago De Compostela,7.32,4.39,9.73,2.3,5.94
Buenos Aires Aeroparque,5.55,10.0,8.1,8.15,7.95
Cochin,6.27,9.81,0.85,8.02,6.24
Moscow - Vnukovo,6.45,3.06,3.77,5.12,4.6
Hannover,6.7,10.0,8.7,9.05,8.61
Bordeaux,7.11,5.83,6.58,7.06,6.64
Accra,6.04,7.66,5.14,9.1,6.98
Verona,7.12,9.07,7.77,9.24,8.3
Cali,6.37,2.38,7.47,9.23,6.36
Antalya Gazipasa Airport,5.27,3.18,7.94,6.14,5.63
Changzhou Benniu,7.0,0.9,4.98,0.79,3.42
Almaty,7.13,0.45,3.37,4.56,3.88
Montevideo,3.13,0.04,0.0,5.5,2.17
Kralendijk (Bonaire),5.33,9.8,9.63,9.17,8.48
Trondheim,6.38,10.0,7.49,9.58,8.36
Manas,3.6,5.51,2.27,8.22,4.9
Sfax,5.97,5.08,4.37,9.52,6.24
Ningbo Lishe,5.83,2.87,0.0,2.67,2.84
Gaziantep Airport,6.06,4.75,4.95,7.41,5.79
Nuernberg,8.06,4.99,7.32,7.71,7.02
Aberdeen,4.97,5.13,6.84,6.77,5.93
Olsztyn,4.69,7.67,0.26,0.19,3.2
Moscow - Sheremetyevo,5.77,10.0,1.44,0.26,4.37
Johor Bahru,5.93,4.55,4.7,4.14,4.83
Naha,6.26,9.68,4.67,2.89,5.88
Puerto Plata,7.35,7.66,5.05,8.51,7.14
Split,8.34,9.84,6.01,10.0,8.55
Samsun Airport,6.54,5.4,4.74,8.33,6.25
Manila - Ninoy Aquino,7.31,9.29,9.5,8.77,8.72
Yantai Penglai,7.16,3.8,4.83,4.95,5.18
Almeria,7.06,4.9,8.0,1.77,5.43
Medellin Jose Maria Cordova,5.78,8.94,7.12,8.43,7.57
Bologna,6.96,9.92,8.23,10.0,8.78
Praia,6.68,4.54,9.43,6.35,6.75
Piarco,5.89,0.49,2.62,3.08,3.02
La Palma,5.92,5.98,8.85,8.23,7.24
