Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Alicante,6.32,0.0,0.14,8.22,3.67
Trabzon Airport,6.84,5.39,0.07,9.92,5.55
Montpellier,6.88,0.0,2.14,9.71,4.68
Astana,6.75,0.0,0.0,7.95,3.68
Sandefjord-Torp,6.05,0.0,0.92,5.18,3.04
Hebei,5.15,0.0,0.0,0.0,1.29
Ngurah Rai,6.76,9.96,0.06,9.16,6.49
Corfu,5.59,10.0,0.29,6.7,5.64
Phu Quok,6.87,0.0,1.03,9.04,4.23
Istanbul Asia Airport,6.8,8.5,0.05,9.15,6.12
Venice,6.78,0.0,0.3,9.07,4.04
Kalibo,7.78,0.0,0.0,8.2,4.0
Tbilisi,6.83,0.0,0.42,0.0,1.81
Juba (inactive),0.0,0.0,1.11,9.62,2.68
Manila - Ninoy Aquino,6.92,0.0,1.2,9.13,4.31
Samos,6.76,0.0,0.25,9.82,4.21
Cochin,6.67,0.0,4.17,8.29,4.78
Leopold Sedar Senghar,6.72,0.0,0.27,9.41,4.1
Ankara Airport,6.84,9.52,0.07,9.41,6.46
Manas,6.15,0.0,0.15,0.0,1.58
Denizli Cardak Airport,6.85,9.34,0.0,8.75,6.24
Norwich,6.82,0.0,0.55,9.71,4.27
Zurich,6.27,10.0,0.13,8.13,6.13
Johannesburg,6.82,10.0,0.88,8.94,6.66
Tashkent,5.6,0.0,0.65,8.31,3.64
Chattrapati Shivaji,5.05,0.0,5.77,0.0,2.7
Vaxjo,4.67,0.0,0.0,0.0,1.17
Djibouti,5.0,0.0,3.01,0.0,2.0
Monterrey,6.84,10.0,0.29,8.6,6.43
Al Hoceima,6.67,0.0,0.0,9.52,4.05
Pisa,6.85,0.0,1.23,9.4,4.37
DAMMAM,6.77,10.0,0.28,4.11,5.29
Vilnius,6.94,0.0,0.69,0.0,1.91
Piarco,6.67,0.0,0.12,2.88,2.42
Brussels,6.67,0.0,0.4,5.79,3.22
Oujda,6.55,10.0,0.04,5.62,5.55
Nykoping,6.67,0.0,10.0,7.18,5.96
Cartagena de Indias,0.0,0.0,0.0,0.0,0.0
Lusaka,6.92,0.0,1.73,8.28,4.23
Zadar,8.89,0.0,5.0,0.0,3.47
Santander,6.92,0.0,0.51,8.53,3.99
Vientiane,5.93,0.0,0.87,5.33,3.03
Penang,6.67,10.0,1.1,8.58,6.59
Komatsu,4.76,0.0,6.42,8.13,4.83
Athens,6.26,10.0,0.24,8.18,6.17
Siem Reap,7.16,0.0,0.0,0.0,1.79
Mahon Airport,6.26,0.0,0.21,9.77,4.06
Busan - Kimhae (downtown),0.0,2.64,0.0,0.0,0.66
Aarhus,6.67,0.0,0.0,0.0,1.67
Glasgow Prestwick,6.36,0.0,0.2,6.82,3.34
Erfurt,10.0,0.0,0.0,0.0,2.5
Weihai Dashuibo,6.75,9.96,0.0,4.71,5.36
Madrid Barajas,6.83,0.0,0.13,9.6,4.14
Sharjah,5.78,9.3,0.11,8.22,5.85
Bari,5.78,0.0,2.15,8.85,4.2
Nanning Wuxu,6.7,9.38,0.04,9.96,6.52
Volgograd,6.88,0.0,0.29,6.99,3.54
Marka,6.89,0.0,0.0,0.0,1.72
Sevilla,6.44,0.0,0.17,0.0,1.65
Paris Orly,6.76,10.0,0.38,0.0,4.28
RIYADH,6.81,10.0,0.25,2.77,4.96
Beauvais,6.53,0.0,0.45,0.0,1.74
Humberside,6.67,0.0,0.0,0.0,1.67
Oranjestad,6.8,9.15,0.14,9.25,6.34
Bodrum Airport,6.75,9.61,0.07,9.37,6.45
Cayenne,6.45,10.0,0.0,0.0,4.11
Ouarzazate,6.83,10.0,0.0,6.95,5.94
Aswan,6.79,0.0,0.0,9.76,4.14
Xuzhou Guanyin,6.75,3.08,0.0,0.0,2.46
Hiroshima,4.89,0.0,2.24,10.0,4.28
Chengdu Tianfu,6.52,7.52,0.06,8.03,5.53
Kunming Wujiaba,6.16,9.99,0.06,7.04,5.81
Rzeszow,5.0,0.0,2.95,10.0,4.49
Izmir Airport,6.82,9.62,0.06,9.85,6.59
Kavala,5.52,0.0,0.0,9.8,3.83
Stuttgart,6.88,0.0,1.43,0.6,2.23
Dresden,7.14,0.0,2.17,0.0,2.33
Tirstrup,0.0,0.0,4.59,0.0,1.15
Edinburgh,6.47,0.0,0.29,9.52,4.07
London Stansted,6.57,0.0,0.31,9.55,4.11
Baghdad,6.78,0.0,3.43,0.0,2.55
La Paz Manuel Marquez de Leon,6.84,0.0,0.0,4.86,2.92
Lulea,7.33,0.0,5.0,0.0,3.08
Zhukovsky,0.0,0.0,0.0,0.0,0.0
Cordoba,6.89,0.0,0.0,0.0,1.72
Cozumel,6.87,10.0,0.38,0.0,4.31
Manila Downtown Shop,0.0,0.0,0.0,0.0,0.0
Singapore - Changi,6.83,0.0,0.3,7.65,3.7
