Location,Cat_A,Cat_B,Cat_D,Avg_Score
Bangalore,6.18,10.0,6.2,7.46
Kaohsiung,5.89,9.97,6.64,7.5
Kos,6.72,0.0,0.0,2.24
Manama,6.74,5.51,0.0,4.08
Naha,4.94,0.0,6.2,3.71
Vaxjo,4.67,0.0,0.0,1.56
Aarhus,6.67,0.0,0.0,2.22
Auckland,4.44,0.0,7.88,4.11
Montego Bay,6.73,9.61,8.53,8.29
Fukushima,6.67,0.0,3.17,3.28
Mykonos,5.53,0.0,9.37,4.97
Szczecin,6.89,0.0,0.0,2.3
Nykoping,6.67,0.0,7.18,4.62
Yinchuan Hedong,6.52,7.01,9.48,7.67
Graz,6.79,0.0,10.0,5.6
Bridgetown,6.76,0.0,1.61,2.79
Netaji Subhash Chandra Bose Int. Airport,4.87,0.0,3.4,2.76
Sharjah,5.78,9.3,8.22,7.77
Radom,5.56,0.0,7.48,4.35
Krasnodar,7.47,0.0,0.0,2.49
Shizuoka,5.83,0.0,6.1,3.98
Nanning Wuxu,6.7,9.38,9.96,8.68
Aktau,10.0,0.0,0.0,3.33
Fort-de-France,6.15,10.0,6.84,7.66
Cayenne (REC),0.0,0.0,10.0,3.33
Juba (inactive),0.0,0.0,9.62,3.21
Bergen,6.81,0.0,5.7,4.17
Santorini,5.38,0.0,8.71,4.7
Cancun,6.84,9.86,8.84,8.51
Milan - Linate,6.88,0.0,4.11,3.66
St. Petersburg Pulkovo,6.75,0.0,6.04,4.26
Budapest,8.33,0.0,0.0,2.78
Nuernberg,6.86,0.0,0.0,2.29
Guayaquil,5.23,10.0,0.0,5.08
Brisbane,6.67,0.0,0.0,2.22
Bari,5.78,0.0,8.85,4.88
Astrakhan,6.9,0.0,8.46,5.12
Stockholm Arlanda,6.92,0.0,9.86,5.59
Karlsruhe Baden-Baden,10.0,0.0,0.0,3.33
Volgograd,6.88,0.0,6.99,4.62
Kagoshima,5.71,0.0,8.08,4.6
Ngurah Rai,6.76,9.96,9.16,8.63
Konya Airport,6.87,8.06,9.87,8.27
Luxor,6.79,0.0,8.96,5.25
Strasbourg,6.92,0.0,9.67,5.53
Punta Cana - Higuey,6.78,9.82,8.31,8.3
Sarajevo,4.91,0.0,9.61,4.84
Beira,8.75,0.0,0.0,2.92
Beijing Daxing,0.0,0.0,6.8,2.27
Phu Quok,6.87,0.0,9.04,5.3
Samsun Airport,6.84,9.04,8.33,8.07
Charleroi,6.67,0.0,0.0,2.22
Jeddah,6.45,10.0,0.0,5.48
Bremen,6.77,0.0,0.0,2.26
Fortaleza,6.87,10.0,7.68,8.18
Christchurch,4.44,0.0,0.0,1.48
Addis Ababa,6.81,10.0,7.26,8.02
Stavanger,6.78,0.0,9.28,5.35
Antigua,6.79,0.0,0.0,2.26
Madrid Barajas,6.83,0.0,9.6,5.48
Siem Reap,7.16,0.0,0.0,2.39
Danang Downtown Shop,0.0,0.0,0.0,0.0
Trondheim,6.79,0.0,2.82,3.2
Qingdao Liuting,6.05,9.88,9.87,8.6
Banjul,6.9,0.0,0.0,2.3
Podgorica,5.56,0.0,9.87,5.14
Trabzon Airport,6.84,5.39,9.92,7.38
Vilnius,6.94,0.0,0.0,2.31
Frankfurt,6.82,0.0,3.33,3.38
Orebro,7.78,0.0,9.67,5.82
Montevideo,6.67,0.0,2.86,3.18
Bordeaux,6.5,10.0,1.54,6.01
Odessa,7.62,0.0,10.0,5.87
Indira Gandhi,5.25,0.0,0.0,1.75
Lulea,7.33,0.0,0.0,2.44
Cayenne,6.45,10.0,0.0,5.48
Quanzhou Jinjiang,0.0,0.0,7.98,2.66
La Palma,5.96,0.0,9.07,5.01
Almeria,6.36,0.0,9.17,5.18
Lanzarote,6.76,0.0,8.74,5.17
Sochi,6.75,0.0,2.77,3.17
Doncaster,7.32,0.0,0.0,2.44
Minsk,6.79,0.0,10.0,5.6
Hyderabad,5.18,0.0,0.0,1.73
Nanchang Changbei,6.62,10.0,9.96,8.86
Erfurt,10.0,0.0,0.0,3.33
Kutaisi,6.78,0.0,8.84,5.21
La Paz El Alto,10.0,0.0,0.0,3.33
Oranjestad,6.8,9.15,9.25,8.4
Medellin Jose Maria Cordova,5.08,0.0,7.31,4.13
Izmir Airport,6.82,9.62,9.85,8.76
Astana,6.75,0.0,7.95,4.9
Liverpool,6.47,0.0,0.0,2.16
Rosario,6.9,0.0,2.86,3.25
Sevilla,6.44,0.0,0.0,2.15
Mexico City,6.84,9.87,0.0,5.57
Kaunas,6.94,0.0,9.5,5.48
Zhukovsky,0.0,0.0,0.0,0.0
Ostrava,6.83,0.0,8.43,5.09
Ulaanbaatar,6.67,0.0,0.0,2.22
Melbourne,6.76,0.0,9.04,5.27
Heraklion Airport,6.75,10.0,8.52,8.42
Tirana,6.19,0.0,9.65,5.28
Basel,6.35,10.0,4.59,6.98
Beijing,5.91,6.27,0.0,4.06
Jomo Kenyatta,6.42,9.99,6.99,7.8
Manchester,6.49,0.0,7.16,4.55
Danang,6.67,0.0,0.0,2.22
Kazan,8.75,0.0,0.0,2.92
Tenerife,6.76,0.0,0.0,2.25
