Location,Cat_C
Karpathos,0.76
Oita,3.09
Bariloche,4.97
Radom,0.0
Aktau,0.7
Umea,0.07
Fukushima,0.0
Coolangatta,4.81
Marka,0.14
Ioannina,0.0
Hatay Airport,0.0
Shymkent,0.9
Kazan,0.0
Gothenburg,6.21
Luanda ,1.24
Manama ,4.19
Lanzarote,9.23
Aarhus,0.0
Glasgow Prestwick,4.98
Queenstown,6.7
Juba,8.28
