Location,Cat_D
Lubumbashi,0.17
Kavala,0.08
Munster-Osnabruck,2.14
Brussels,1.83
Memmingen,0.0
Entebbe,1.14
Bridgetown,3.63
Maputo,0.0
Mitilini,0.0
Guernsey,0.0
Ufa,0.0
Alesund,0.0
Hrabrovo,0.0
Vladivostok,0.0
Coolangatta,0.0
Tuzla,1.75
Yangon,2.95
Ioannina,1.01
Paderborn,0.77
Hatay Airport,0.0
Nairobi,1.45
Yingsheng,0.0
San Jose,0.0
Djibouti,0.0
Nanjing Lukou,2.29
Pamandzi,0.0
Hebei,1.61
Takamatsu,2.13
Budapest,0.0
Queenstown,0.0
Quanzhou,2.39
Nykoping,0.6
Orebro,2.09
Zagreb,1.62
Lulea,0.0
Karlsruhe Baden-Baden,0.0
Dushanbe,0.0
Windhoek,0.0
Kaunas,1.6
Genoa,0.0
Vigo,6.31
Guiyang Longdongbao,0.75
Wellington,0.0
Iwate,0.21
Bologna,1.33
Kigali,0.16
Auckland,0.89
Brno,0.77
Podgorica,0.78
Shizuoka,1.38
Harare,0.0
Gothenburg,0.08
Mombasa,0.0
Dnipropetrovsk,0.0
La Paz El Alto,0.0
Kagoshima,0.02
Gibraltar,0.13
Dubrovnik,0.0
Gaborone,0.71
Montevideo,1.89
Manila - Ninoy Aquino,1.02
Split,0.46
Aktau,0.0
Kalibo,0.51
Cairns,0.03
Adelaide,0.19
Punta del Este,0.0
Fukushima,0.02
Mactan,0.0
Islamabad,0.0
