SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
LUCKY STRIKE - ORIGINAL RED KS BOX,200,51260,China,Chengdu Tianfu,BAT
MILD SEVEN - LIGHTS KS BOX,200,44119,China,Chengdu Tianfu,JTI
VOGUE - BLEUE 100's L-STICK BOX SLIMS,400,69899,Tunisia,Monastir,BAT
CAMEL - ACTIVATE KS BOX C,600,67982,Tunisia,Monastir,JTI
UNDEFINED,0,0,Australia,Melbourne,BAT
WEST - RED KS BOX,600,46023,Tunisia,Monastir,IMPERIAL BRANDS
SEVEN STARS - PRIME LEAF 8 KS BOX,200,115065,Japan,Osaka - Kansai,JTI
KOOL - MILDS MENTHOL KS BOX,200,46219,Japan,Okayama,BAT
KENT - SURROUND (SILVER) KS RCB,600,107236,Turkey,Istanbul Asia Airport,BAT
MARLBORO - SHUFFLE MENTHOL KS RCS C MUL WHITE - GENERIC DF-ENG TXT,200,123493,Tunisia,Monastir,PMI
MARLBORO - SILVER (3.5) KS RCB WHITE - TAIWAN DF,200,122518,Taiwan,Taipei - Taoyuan,PMI
L&M - RED LABEL (5.0 CWB) KS RCB 400 - GENERIC DF-ENG TXT,400,123640,Brazil,Viracopos,PMI
DAVIDOFF - MAGENTA KS OCTAGONAL PACK SUPERSLIMS,200,103408,Kuwait,Kuwait,IMPERIAL BRANDS
MARLBORO - SILVER BLUE (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,123513,Kuwait,Kuwait,PMI
PALL MALL - (BLUE) KS BOX,600,51685,Kuwait,Kuwait,BAT
THE ONE - KS OCTAGONAL PACK,200,52616,South Korea,Incheon,KT & G
MARLBORO - TROPICAL SPLASH MENTHOL KS RCS C MUL WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,200,139554,Saudi Arabia,Jeddah,PMI
STERLING - (RED) KS BOX,200,61078,Greece,Mykonos,JTI
L&M - SILVER LABEL (5.0 CWB) KS RCB WHITE - GENERIC DF-ENG TXT,200,123646,Egypt,Aswan,PMI
SILK CUT - SILVER KS BOX,200,46016,Spain DP,Barcelona,JTI
VOGUE - LILAS 100's BOX SUPERSLIMS,400,51103,United Arab Emirates,Dubai,BAT
LUCKY STRIKE - KS BOX,200,43972,China,Beijing,BAT
CAMEL - LIGHTS KS BOX,200,43025,China,Beijing,JTI
NATURAL AMERICAN SPIRIT - MENTHOL LIGHT MENTHOL KS BOX,200,96976,Japan,Tokyo - Narita,JTI
MARLBORO - (GOLD 3.0) KS RCB - EG05 NEW TEXT HW DF,200,113623,Egypt,Asyut,PMI
KENT - BLUE FUTURA KS RCB,200,51949,China,Beijing,BAT
MARLBORO - TOUCH 3.5 KS RCT SLIMS - CANARY ISLANDS DF - IDM SPAIN,200,124963,Canary Islands,Tenerife,PMI
UNDEFINED,0,0,Uganda,Entebbe,IMPERIAL BRANDS
SUPERKINGS - 100's BOX,200,44938,Great Britain,London Heathrow,IMPERIAL BRANDS
MARLBORO - DOUBLE ICE KS RCS 600 C SPECIAL OUTER WHITE - GENERIC DF-ENG TXT,600,123388,India,Indira Gandhi,PMI
PARLIAMENT - AQUA BLUE KS RCB 600 WHITE - TURKEY DF,600,70907,Turkey,Antalya Airport,PMI
MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,400,125465,Poland,Wroclaw,PMI
PHILIP MORRIS - BLEUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,121200,France,Bordeaux,PMI
MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM PORTUGAL,200,125470,Portugal,Faro Airport,PMI
LIQUN - (RED) KS BOX,200,60578,China,Jinan Xiaoqiang,CHINA NATIONAL
MARLBORO - (RED FWD) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,122765,France DP,Toulouse,PMI
CAMEL - BLUE KS BOX,200,52735,Russia,Min Vody,JTI
PARLIAMENT - AQUA 5 KS RCB JUMBO RC WHITE - KOREA DF - IDM KOREA,200,121968,South Korea,Seoul,PMI
MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - INDOCHINA DF,200,98189,Cambodia,Phnom Penh,PMI
RAISON - FRENCH CLEO MENTHOL KS BOX C,200,123078,South Korea,Busan - Kimhae,KT & G
