IATA,CLUSTER_IATA,SIMILARITY_SCORE,RANK
AMS,MYY,0.995667773938,4
ANC,UKK,0.997054759299,1
ANC,TRN,0.995705257248,2
ANC,ABT,0.995137741018,3
ANC,KOA,0.994978220115,4
ANF,TJA,0.998076550562,1
ANF,CPO,0.990049631414,2
ANF,PIU,0.983135183226,3
ANF,IDR,0.981206506795,4
ANG,TU_065-02,0.999170454546,1
ANG,TU_011-72,0.998594696970,2
ANG,TU_017-08,0.997930297877,3
ANG,TU_034-06,0.997807576419,4
ANR,ELP,0.999560929975,1
ANR,MEM,0.999514696281,2
ANR,JMK,0.999079599401,3
ANR,BUF,0.999021617090,4
ANU,PSC,0.999705967183,1
ANU,CHA,0.999566445170,2
ANU,RNS,0.998807728552,3
ANU,BIL,0.998571646289,4
AOE,BDU,0.999910217577,1
AOE,ALF,0.999780085044,2
AOE,VOZ,0.999561339926,3
AOE,JUB,0.999483620409,4
AOG,HEL,0.999564322301,1
AOG,LLV,0.998967803031,2
AOG,SUF,0.998451665005,3
AOG,PZE,0.998327651516,4
AOI,EAS,0.999968471372,1
AOI,GSO,0.999656261680,2
AOI,CWL,0.998696866837,3
AOI,LRM,0.998668138424,4
AOJ,JNB,0.998404227396,1
AOJ,AKX,0.997478130205,2
AOJ,YGJ,0.996559619756,3
AOJ,CUE,0.995686761535,4
AOK,LNZ,0.999324339804,1
AOK,TU_075-01,0.999126228025,2
AOK,TU_031-04,0.998532829337,3
AOK,TU_075-02,0.998195394639,4
AOR,ARI,0.999258555165,1
AOR,DCA,0.997170000522,2
AOR,SLA,0.997149233836,3
AOR,HMI,0.994261156373,4
APL,ASJ,0.999387368584,1
APL,MAH,0.997317673264,2
APL,HNL,0.994805877211,3
APL,WEH,0.993347144715,4
APO,PKU,0.999645782820,1
APO,TEN,0.997644996253,2
APO,SDU,0.996978458968,3
APO,KUV,0.988320075757,4
APW,ERL,0.999972956177,1
APW,CAI,0.995353703613,2
APW,MLH,0.995302711583,3
APW,SOD,0.993978637996,4
AQG,PLW,0.997805640772,1
AQG,RMQ,0.994831321144,2
AQG,MNL,0.993734124800,3
AQG,LKO,0.993064290430,4
AQP,RCH,0.995353389357,1
AQP,GDL,0.994103784039,2
AQP,TIR,0.992858424505,3
AQP,PZO,0.991376112027,4
ARH,MVD,0.999804822766,1
ARH,ROS,0.999291408265,2
ARH,AVL,0.998807743688,3
ARH,IMP,0.998787483944,4
ARI,AOR,0.999258555165,1
ARI,SLA,0.997890678671,2
ARI,DCA,0.996428555687,3
ARI,HMI,0.993519711538,4
ARK,MLG,0.996573400674,1
ARK,VDE,0.994416666667,2
ARK,HKG,0.992342791024,3
ARK,NAW,0.986837121212,4
ARN,LBU,0.999273699308,1
ARN,IKT,0.998065400088,2
ARN,CGB,0.997902411565,3
ARN,MAN,0.997630753911,4
ARU,GTO,0.997546992254,1
ARU,MSP,0.988639229051,2
ARU,NTL,0.987577713781,3
ARU,BNE,0.987255486057,4
ARW,GRK,0.999388978849,1
ARW,TU_061-02,0.999233485128,2
ARW,CPR,0.998719514899,3
ARW,KZS,0.997803030303,4
ASB,CRK,0.998589689695,1
ASB,GYE,0.998209435781,2
ASB,FUJ,0.997601067643,3
ASB,HMA,0.996087398581,4
ASE,ACK,0.999984595428,1
ASE,NKC,0.999705931445,2
ASE,EFL,0.999398302287,3
ASE,MRA,0.999257035017,4
ASF,DBV,0.999976174788,1
ASF,GYU,0.998401225418,2
ASF,SVG,0.998149871868,3
ASF,AAQ,0.997830176877,4
ASJ,APL,0.999387368584,1
ASJ,MAH,0.996705041848,2
ASJ,HNL,0.995418508627,3
ASJ,WEH,0.992734513299,4
ASM,YYJ,0.998977932745,1
ASM,KIR,0.998868074107,2
ASM,JAC,0.998481888883,3
ASM,LJU,0.998207327914,4
ASP,NAS,0.999691256658,1
ASP,MGF,0.998492235335,2
ASP,MLM,0.996821421015,3
ASP,RDZ,0.996708333079,4
ASR,GPS,0.998691348309,1
ASR,OMS,0.996517385488,2
ASR,KIV,0.996173716476,3
ASR,MJN,0.995957188728,4
ASU,CAC,0.999972776033,1
ASU,TSE,0.999757509921,2
ASU,AVN,0.998302820051,3
ASU,TUL,0.997941754636,4
ASW,DUR,0.999300531802,1
ASW,EBU,0.998847202820,2
ASW,CNS,0.996832604933,3
ASW,KRK,0.994575191333,4
ATH,KUT,0.998329674361,1
ATH,LIS,0.998104279079,2
ATH,HHH,0.997129252058,3
ATH,SJK,0.996894403573,4
ATL,FOC,0.985103062126,1
ATL,CXR,0.971449072531,2
ATL,VXE,0.967474875866,3
ATL,HYN,0.955157170591,4
ATM,NBO,0.999267631286,1
ATM,PVH,0.999119787384,2
ATM,BOI,0.998781538282,3
ATM,JIK,0.998346518298,4
ATQ,MCZ,0.998269450425,1
ATQ,KGD,0.998173608721,2
ATQ,BRU,0.997908005348,3
ATQ,HIJ,0.997661609886,4
ATW,DLA,0.999839073798,1
ATW,UBA,0.999123634533,2
ATW,DAY,0.998653083778,3
ATW,PLS,0.998584927492,4
ATZ,ZYR,0.998933849000,1
ATZ,BGF,0.997785844856,2
ATZ,TU_021-01,0.997472081796,3
ATZ,TU_031-03,0.997301509361,4
AUA,GRX,0.999901288845,1
AUA,SID,0.999495614141,2
AUA,GOT,0.999076112888,3
AUA,SFA,0.998618634247,4
AUH,DUS,0.999822734685,1
AUH,SVX,0.997285228113,2
AUH,HTI,0.996412904687,3
AUH,CFU,0.992896758175,4
AUS,KLO,0.999654731860,1
AUS,RHO,0.997746994434,2
AUS,KAO,0.995056894753,3
AUS,NAJ,0.994742775335,4
AVA,NYU,0.995632779929,1
AVA,JDH,0.994154111876,2
AVA,TAK,0.987561464034,3
AVA,DIB,0.986393507781,4
AVL,IMP,0.999979740256,1
AVL,ROS,0.999516335423,2
AVL,ARH,0.998807743688,3
AVL,MVD,0.998612566454,4
AVN,TUL,0.999638934585,1
AVN,SKD,0.998672830673,2
AVN,TSE,0.998545310130,3
AVN,ASU,0.998302820051,4
AVP,FAY,0.999660549455,1
AVP,YDF,0.999618120043,2
AVP,TCP,0.999587769398,3
AVP,TU_038-01,0.999515601338,4
AVV,ETH,0.995420699595,1
AVV,SKN,0.994250345371,2
AVV,MAD,0.993823354758,3
AVV,LIM,0.993652353972,4
AWZ,MED,0.994980231141,1
AWZ,CRV,0.990752757254,2
AWZ,UIP,0.989784954224,3
AWZ,FRA,0.987854479055,4
AXF,PMG,0.999910984848,1
AXF,WOT,0.999657196970,2
AXF,TU_010-05,0.999571883516,3
AXF,TU_058-01,0.999251106571,4
AXM,FEG,0.999498372970,1
AXM,POZ,0.999385893508,2
AXM,ETZ,0.998999763747,3
AXM,DYU,0.997721516941,4
AXT,BAH,0.999773466455,1
AXT,JUH,0.999298725416,2
AXT,VIT,0.999135846628,3
AXT,SAT,0.998875766233,4
AYQ,SYO,0.999949546269,1
AYQ,SOF,0.999835728915,2
AYQ,ABT,0.998161099775,3
AYQ,GDX,0.997735492379,4
AYT,PNA,0.994275151356,1
AYT,BCD,0.994266958316,2
AYT,CIH,0.988376833707,3
AYT,WUA,0.981974875492,4
AZA,UBJ,0.995419261519,1
AZA,AHB,0.992747097891,2
AZA,MDL,0.991026992494,3
AZA,MDC,0.989547112891,4
AZD,FLL,0.998737248844,1
AZD,UDR,0.994943600907,2
AZD,YKM,0.994199894487,3
AZD,TYR,0.993997075210,4
AZO,TU_026-01,0.998884499680,1
AZO,EWN,0.998575215517,2
AZO,KLX,0.998458242412,3
AZO,TU_060-01,0.996928311213,4
AZS,UVF,0.997971474860,1
AZS,LBB,0.997087441559,2
AZS,FAE,0.996876613508,3
AZS,FIH,0.996834934069,4
BAH,AXT,0.999773466455,1
BAH,JUH,0.999525258961,2
BAH,VIT,0.999362380173,3
BAH,SAT,0.999102299778,4
BAL,UTN,0.999111654972,1
BAL,PKC,0.998863522033,2
BAL,TJM,0.996789958436,3
BAL,USM,0.996496139382,4
BAQ,AGA,0.998707115804,1
BAQ,LCX,0.998396440073,2
BAQ,KZN,0.997844785626,3
BAQ,EQS,0.996093409770,4
BAV,SPI,0.999699150807,1
BAV,MCY,0.999210701937,2
BAV,DXB,0.990376399243,3
BAV,JHB,0.986914434140,4
BAX,GEG,0.999529020794,1
BAX,LGG,0.998941217615,2
BAX,CZL,0.998742855430,3
BAX,ENU,0.997990856942,4
BAY,LLW,0.999862217072,1
BAY,HUY,0.999772138864,2
BAY,MOL,0.999741188545,3
BAY,MHQ,0.999656306442,4
BBA,CRD,0.999688245619,1
BBA,DUB,0.995013704039,2
BBA,FCO,0.993065456290,3
BBA,MDE,0.991648689528,4
BBI,KPO,0.997600037758,1
BBI,BHY,0.996867208843,2
BBI,BKK,0.996367732489,3
BBI,CLT,0.993782717299,4
BBK,LOS,0.999872719059,1
BBK,PNZ,0.999649687392,2
BBK,PRN,0.997750791981,3
BBK,SSH,0.997464247414,4
BCD,PNA,0.999991806960,1
BCD,AYT,0.994266958316,2
BCD,TJQ,0.983539382349,3
BCD,CIH,0.982643792023,4
BCM,NBC,0.999605510819,1
BCM,TNR,0.998844129352,2
BCM,JNU,0.998638103073,3
BCM,ACC,0.997781677416,4
BCN,TIR,0.997264869379,1
BCN,BNK,0.995522452687,2
BCN,SDJ,0.994008594537,3
BCN,GES,0.992887935741,4
BDA,JSY,0.999999072162,1
BDA,BNX,0.997944109657,2
BDA,KGL,0.997819886648,3
BDA,POP,0.997665243873,4
BDJ,EDO,0.998779845855,1
BDJ,ENH,0.977630636652,2
BDJ,INC,0.974535197909,3
BDJ,SAW,0.961107341626,4
BDL,LSP,0.999283242875,1
BDL,AHU,0.999171181349,2
BDL,MLE,0.998931829129,3
BDL,MLX,0.998861493198,4
BDO,CZU,0.999469965002,1
BDO,GRO,0.999043050922,2
BDO,BHX,0.997639739760,3
BDO,LBD,0.995418991418,4
BDQ,ZRH,0.998715458503,1
BDQ,BRI,0.996277790042,2
BDQ,TIA,0.995953614857,3
BDQ,PAS,0.995636272031,4
BDS,COR,0.999187656201,1
BDS,JUL,0.999121586411,2
BDS,VGA,0.998807081626,3
BDS,ALG,0.997986793462,4
BDU,AOE,0.999910217577,1
BDU,ALF,0.999869867467,2
BDU,VOZ,0.999651122349,3
BDU,PAV,0.999457858677,4
BEG,JIK,0.999902665781,1
BEG,BOI,0.999467645797,2
BEG,JMK,0.999220111407,3
BEG,ANR,0.998299710808,4
BEJ,FRO,0.997866776947,1
BEJ,HFT,0.996058064825,2
BEJ,DNH,0.994822441526,3
BEJ,ADQ,0.989663526084,4
BEL,YYZ,0.997535820418,1
BEL,MSR,0.997356352693,2
BEL,VVO,0.995761971587,3
BEL,KRK,0.994515900446,4
BEN,UET,0.999589713610,1
BEN,TRF,0.999399450298,2
BEN,PAP,0.999291032945,3
BEN,NPE,0.998730175913,4
BER,DDG,0.996554927133,1
BER,LGA,0.996413523731,2
BER,HDG,0.993292643747,3
BER,CJA,0.989945127023,4
BES,TU_030-02,0.998836933020,1
BES,YWG,0.998267706799,2
BES,RYG,0.997529762674,3
BES,TU_027-02,0.997065175827,4
BET,SEZ,0.999369533080,1
BET,FOG,0.999162558757,2
BET,RNS,0.998770390445,3
BET,CHA,0.998011673827,4
BEW,FMA,0.997461174242,1
BEW,CJB,0.994772364604,2
BEW,BTJ,0.993479216243,3
BEW,GIZ,0.993206906666,4
BEY,MKE,0.997158293241,1
BEY,SPC,0.996522907613,2
BEY,SRQ,0.996023917779,3
BEY,TU_079-02,0.995724994648,4
BFH,CBQ,0.999383280480,1
BFH,KSH,0.997917425169,2
BFH,TCG,0.996551136363,3
BFH,ERZ,0.994911437490,4
BFJ,SRG,0.997625404638,1
BFJ,YUM,0.995723874820,2
BFJ,BIK,0.991128417002,3
BFJ,BER,0.986204152593,4
BFL,LFT,0.999919544082,1
BFL,MHH,0.999670636098,2
BFL,ESU,0.999615595655,3
BFL,SVD,0.999608615733,4
BFN,OPS,0.998922426236,1
BFN,POS,0.998305870963,2
BFN,SAL,0.997541910543,3
BFN,BQN,0.997158522759,4
BFS,VVC,0.999015835252,1
BFS,TDD,0.994099658477,2
BFS,BRC,0.986489811122,3
BFS,YNT,0.984112925332,4
BGA,EYP,0.995944398028,1
BGA,TAB,0.994982379093,2
BGA,ZAH,0.994656917438,3
BGA,STL,0.994225236816,4
BGF,TU_031-03,0.999515664505,1
BGF,ZYR,0.998851995856,2
BGF,TU_048-10,0.998432105597,3
BGF,ATZ,0.997785844856,4
BGI,PDP,0.999129436254,1
BGI,LPI,0.998568844996,2
BGI,VAR,0.998506528667,3
BGI,YTZ,0.998340376201,4
BGM,ZHA,0.999744970191,1
BGM,BUZ,0.999633370612,2
BGM,TOL,0.991922348484,3
BGM,KMI,0.991642231435,4
BGO,DUD,0.999904860023,1
