2025-02-28 08:34:21,848 - __main__ - INFO - Starting 2023-based portfolio scoring...
2025-02-28 08:34:21,855 - __main__ - INFO - Loaded reference scores for 501 locations
2025-02-28 08:34:21,855 - __main__ - INFO - Loading data files...
2025-02-28 08:34:22,794 - __main__ - INFO - Loaded df_vols: 32937 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded mc_per_product: 10923 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded market_pmi: 1662 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded market_comp: 6057 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded pax_data: 82265 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded mrk_nat_map: 231 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded iata_location: 1011 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded similarity_file: 8536 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded country_figures: 1332 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded dom_volumes: 16841 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded dom_products: 119733 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded selma_df_map: 114923 rows
2025-02-28 08:34:31,531 - __main__ - WARNING - Error calculating Category B score for Manas: Found input variables with inconsistent numbers of samples: [2, 21]
2025-02-28 08:34:31,534 - __main__ - WARNING - Error calculating Category B score for Antigua: Found input variables with inconsistent numbers of samples: [3, 2]
2025-02-28 08:34:31,536 - __main__ - WARNING - Error calculating Category B score for Reus: Found input variables with inconsistent numbers of samples: [2, 12]
2025-02-28 08:34:31,538 - __main__ - WARNING - Error calculating Category B score for Almeria: Found input variables with inconsistent numbers of samples: [2, 11]
2025-02-28 08:34:31,540 - __main__ - WARNING - Error calculating Category B score for Faro Airport: Found input variables with inconsistent numbers of samples: [2, 9]
2025-02-28 08:34:31,546 - __main__ - WARNING - Error calculating Category B score for Mangalore: Found input variables with inconsistent numbers of samples: [3, 6]
2025-02-28 08:34:31,548 - __main__ - WARNING - Error calculating Category B score for Bridgetown: Found input variables with inconsistent numbers of samples: [5, 2]
2025-02-28 08:34:31,550 - __main__ - WARNING - Error calculating Category B score for Basel: Found input variables with inconsistent numbers of samples: [4, 23]
2025-02-28 08:34:31,553 - __main__ - WARNING - Error calculating Category B score for Vilnius: Found input variables with inconsistent numbers of samples: [2, 1]
2025-02-28 08:34:31,555 - __main__ - WARNING - Error calculating Category B score for Gaziantep Airport: Found input variables with inconsistent numbers of samples: [6, 33]
2025-02-28 08:34:31,557 - __main__ - WARNING - Error calculating Category B score for Tunis: Found input variables with inconsistent numbers of samples: [4, 31]
2025-02-28 08:34:31,559 - __main__ - WARNING - Error calculating Category B score for Cologne: Found input variables with inconsistent numbers of samples: [2, 7]
2025-02-28 08:34:31,561 - __main__ - WARNING - Error calculating Category B score for Jomo Kenyatta: Found input variables with inconsistent numbers of samples: [5, 22]
2025-02-28 08:34:31,563 - __main__ - WARNING - Error calculating Category B score for Samos: Found input variables with inconsistent numbers of samples: [2, 8]
