Location	Cat_A	Cat_B	Cat_C	Cat_D	Avg_Score
Bourgas	6.67	1.76	0.88	8.73	4.51
Togo	5.83	10	4.25	8.18	6.09
Cam Ranh	6.67	0.17	1.91	2.43	2.8
Puerto Vallarta	6.94	7.3	2.79	8.02	6.26
Reus	6.67	1.13	8.23	3.29	4.83
Bangalore	5.62	6.52	1.75	9.51	5.85
Zakynthos	6.67	5.67	3.62	8.24	6.05
Venice	6.25	8.19	7.5	9.39	7.83
Hamburg	5.9	10	6.49	9.48	7.29
Thessaloniki	5.29	6.17	4.49	8.4	6.09
Nador	7.56	7.57	9.18	7.72	8.01
Kos	7.14	6.21	3.48	8.19	6.25
Los Cabos	6.94	7.21	2.96	9.24	6.59
Lublin	7.5	2.5	0	0	2.5
Murcia	7.14	0.15	0	0	1.82
Medina	5.56	8.44	6.21	0	5.05
Cork	5	5.71	7.04	4.63	5.6
Chongqing Jiangbei	5.83	0.46	1.27	0.7	2.06
San Salvador Comalapa	5.73	6.5	3.17	8.26	5.92
Rabil	6.67	2.28	7.79	7.26	6
Sarajevo	5.93	10	6.41	9.3	7.21
Shenzhen Bao'an	6.41	0.15	0.85	0.36	1.94
Abidjan	8.89	7.55	8.69	8.68	8.45
Zia	5.33	10	0.52	7.62	4.49
Bergen	6.3	10	5.2	9.04	6.85
Bergamo	6.32	8.21	7.94	9.46	7.98
Guayaquil	7.5	7.87	7.69	8.61	7.92
Alexandria	7.39	10	0	0	2.46
Nis	5	7.73	0	0	3.18
Szczecin	5.83	9.67	6.12	9.93	7.89
Guadalajara	7.31	8.13	3.48	9.18	7.02
Billund	6.67	10	8.02	1.49	5.39
Wuhan Tianhe	5.71	1.74	1.91	2.23	2.9
Guernsey	5	0	5.57	0.2	2.69
Quito	6.79	3.88	8.51	5.64	6.2
Tashkent	5.33	10	1.75	7.82	4.97
Santiago Cibao	6.67	6.11	7.53	6.75	6.76
Bridgetown	5.5	10	7.49	6.75	6.58
Zanzibar	7.5	10	9.91	8.39	8.6
Kutaisi	6.19	10	8.81	7.22	7.41
Toulouse	7.58	6.26	8.46	9.08	7.85
Essaouira	7.33	7.96	0	0	3.82
Guatemala City	6.06	4.39	1.48	6.14	4.52
Batumi	5.24	10	0	0	1.75
Bamako	7.5	10	5.64	7.5	6.88
Kayseri Airport	6.26	6	4.58	7.8	6.16
Yanji Zhaoyangchuan	9.05	3.21	7.2	3.69	5.79
Podgorica	7.78	10	4.19	10	5.98
Cayenne	6.67	9.42	9.75	9.53	8.84
San Jose	5.83	10	7.2	9.4	7.48
Ciampino Airport	5.56	8.62	7.94	9.8	7.98
Chania	6.67	4.27	3.71	7.7	5.59
Changsha Huanghua	5.83	1.94	2.61	2.37	3.19
Brno	6	10	5.92	8.55	6.82
Aswan	8.03	10	6.07	8.99	7.7
