Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Aqaba,6.86,5.0,0.0,88.0,0.31,,,3.585
Cancun,6.84,8.0,0.0,153.0,0.0,0.0,0.01,1.7125
Doncaster,7.32,8.0,0.0,41.0,,,,7.32
Fes,6.51,7.0,8.0,186.0,0.1,0.01,,2.2066666666666666
La Romana,6.83,3.0,0.0,63.0,0.01,0.01,0.14,1.7474999999999998
Adana Airport,6.87,5.0,0.0,84.0,0.21,0.0,0.23,1.8275000000000001
Dalaman Airport,6.79,10.0,0.0,263.0,10.0,0.01,,5.6000000000000005
Katima Mulilo,4.76,0.0,2.0,7.0,10.0,,,7.38
Qingdao Liuting,6.05,0.0,9.0,97.0,0.3,0.02,0.0,1.5924999999999998
Port-au-Prince (Haiti),6.76,1.0,0.0,35.0,10.0,0.0,5.33,5.522499999999999
Amritsar,4.87,0.0,7.0,26.0,10.0,0.01,0.46,3.8350000000000004
Sharjah,5.78,6.0,22.0,143.0,0.04,0.03,0.16,1.5025000000000002
Malaga,6.48,2.0,3.0,73.0,0.1,0.01,0.16,1.6875
Marsa Aalam,6.73,2.0,0.0,111.0,0.0,,0.03,2.2533333333333334
Urumchi Diwobao,6.48,1.0,3.0,89.0,0.3,0.04,0.2,1.7550000000000001
Manas,6.15,3.0,8.0,84.0,1.33,0.03,,2.5033333333333334
Dar Es Salaam,6.5,3.0,3.0,59.0,0.17,0.01,,2.2266666666666666
Almaty,5.0,1.0,6.0,22.0,4.81,0.01,0.2,2.5049999999999994
Punta Cana - Higuey,6.78,6.0,0.0,171.0,0.19,0.0,0.19,1.7900000000000003
Frankfurt,6.82,4.0,0.0,88.0,10.0,0.0,0.52,4.335
Yanji Zhaoyangchuan,6.54,1.0,2.0,82.0,0.68,1.15,,2.7899999999999996
Ankara Airport,6.84,17.0,0.0,324.0,0.03,0.0,0.26,1.7825
Jomo Kenyatta,6.42,5.0,6.0,93.0,0.25,0.0,0.4,1.7675
Oujda,6.55,6.0,6.0,176.0,0.19,0.01,0.03,1.695
Sevilla,6.44,2.0,3.0,58.0,0.06,0.01,,2.17
Phnom Penh,6.75,3.0,0.0,126.0,0.2,0.04,0.05,1.76
